Unnamed: 0,price_eur_mwh,load_mw,biomass_mw,lignite_mw,gas_mw,hard_coal_mw,hydro_run_mw,hydro_reservoir_mw,solar_mw,wind_offshore_mw,wind_onshore_mw,hour,day_of_week,month,weekend,price_lag_1,price_lag_24,price_lag_168,price_mean_24h,price_std_24h,price_mean_168h,renewable_generation,renewable_share,residual_load
2025-10-11 08:00:00+00:00,82.4325,54708.59925,3858.147261,8118.0725,3561.2925,2143.05,1327.6635,188.2975,10490.676029,3020.80225,12948.735023,8,5,10,1,92.96,93.0075,-0.09,93.94979166666666,13.807065671485434,83.66596726190477,31834.321562999998,0.5818888072335355,22874.277687
2025-10-11 09:00:00+00:00,74.02,55197.24775,3738.408872,7674.8725,3080.255,1722.39,1312.92175,125.395,14390.387812,2936.21625,13021.838222,9,5,10,1,82.4325,82.1175,-0.0975,93.61239583333332,14.202063297030293,84.10714285714286,35525.167906,0.6436039721926172,19672.079844
2025-10-11 10:00:00+00:00,55.4175,55012.1135,3640.130443,7330.28,3016.9300000000003,1575.93,1308.039,60.405,16676.958275,2700.5285,13351.014227,10,5,10,1,74.02,77.5325,-0.08,92.6909375,15.905942026423121,84.43748511904762,37737.075445,0.6859775610148118,17275.038054999997
2025-10-11 11:00:00+00:00,46.7725,53254.89,3639.938644,7075.0375,2975.2925,1458.005,1392.90475,98.275,16808.732856000002,3056.18425,13018.25212,11,5,10,1,55.4175,75.69,-0.44,91.48604166666667,18.182176247878054,84.7185119047619,38014.287619999996,0.7138177849958942,15240.602380000004
2025-10-11 12:00:00+00:00,51.03,51887.11425,3636.809268,6694.075,2992.26,1568.59,1395.45625,84.3,14986.433218,3079.173,12669.755353,12,5,10,1,46.7725,77.2575,-2.045,90.39322916666667,19.791503920529976,85.03443452380952,35851.927089000004,0.6909601277161026,16035.187160999994
2025-10-11 13:00:00+00:00,76.9425,51228.76275,3714.346593,7676.7175,3199.075,2080.76,1313.0255,125.155,11280.323915,2812.89125,11808.095826,13,5,10,1,51.03,88.89500000000001,-2.605,89.89520833333334,19.980325389595844,85.50793154761905,31053.838084000003,0.6061797399938182,20174.924666
2025-10-11 14:00:00+00:00,83.65,51122.786250000005,3999.275261,9441.3175,4924.6375,2883.2525,1269.21975,176.075,6557.346877,2644.7725,10319.544512,14,5,10,1,76.9425,97.8575,-0.095,89.30322916666665,19.944599635246462,86.0064136904762,24966.2339,0.4883582396685196,26156.552350000005
2025-10-11 15:00:00+00:00,114.005,53005.168000000005,4330.4089730000005,10464.6375,7512.0425,3652.4325,1275.38175,149.16750000000002,2331.494029,2374.205,8964.178605000001,15,5,10,1,83.65,118.2,-0.0925,89.1284375,19.697189297066657,86.68556547619048,19424.835857,0.3664706025835065,33580.33214300001
2025-10-11 16:00:00+00:00,126.4375,54912.3435,4610.984292,10761.02,8259.1825,4175.995,1286.484,238.0125,217.957354,2055.8635,8293.776814,16,5,10,1,114.005,120.605,1.105,89.37145833333334,20.133573368559667,87.43159226190475,16703.07846,0.3041771193028759,38209.26504
2025-10-11 17:00:00+00:00,130.1725,54973.21325,4659.907604,10863.775,8444.567500000001,4215.342500000001,1293.59475,192.13,82.603611,1768.59275,7734.378983,17,5,10,1,126.4375,123.29,3.23,89.65822916666666,20.67931301265805,88.18720238095239,15731.207697999998,0.2861613278172347,39242.005552
2025-10-11 18:00:00+00:00,120.635,51960.5275,4554.233761,11061.9975,8347.73,4182.28,1287.7675,121.38,37.943469,1741.68675,7604.767743,18,5,10,1,130.1725,115.39,0.3225,89.87677083333334,20.9884769043026,88.90334821428571,15347.779223000001,0.29537381472888247,36612.74827699999
2025-10-11 19:00:00+00:00,112.545,49492.67575,4401.3778330000005,11032.8325,8148.2725,3959.71,1307.7535,120.4125,17.128847,1682.26375,7507.951548,19,5,10,1,120.635,103.915,-0.0949999999999999,90.23635416666667,21.310892575910717,89.57382440476191,15036.887978,0.3038204693954135,34455.787772
2025-10-11 20:00:00+00:00,106.9075,47252.7365,4221.724745,10950.4725,7848.83,3753.63,1299.24125,81.115,12.19346,1713.337,7126.010333,20,5,10,1,112.545,97.7375,-0.0525,90.61843749999998,21.532282624209067,90.21049107142858,14453.621788,0.3058790423280565,32799.114711999995
2025-10-11 21:00:00+00:00,95.0975,44225.295,4053.114185,10218.7225,6465.8625,3202.37,1290.426,85.235,10.98813,1733.441,7111.615459000001,21,5,10,1,106.9075,93.35,-0.3425,90.69125000000001,21.544872094978388,90.7785863095238,14284.819774,0.32300111902023493,29940.475226
2025-10-11 22:00:00+00:00,96.1775,41520.2835,3922.646459,9725.9875,5198.615,2638.875,1250.786,75.8975,11.58392,2029.82875,7143.824436,22,5,10,1,95.0975,92.9675,-0.7475,90.82499999999999,21.569567027206443,91.35552083333334,14434.567065,0.3476509755767925,27085.716435
2025-10-11 23:00:00+00:00,92.1675,39633.4845,3845.606584,9253.9975,4170.9925,2130.1025,1223.26925,64.6475,12.916143,2149.4165000000003,7349.102186,23,5,10,1,96.1775,88.83500000000001,-1.4025,90.96385416666668,21.566925739665884,91.91248511904762,14644.958163000001,0.3695097301626356,24988.526336999996
2025-10-12 00:00:00+00:00,88.86,38633.5265,3783.795777,8493.61,4145.8025,1875.97,1203.692,68.8825,11.000415,2650.65375,7713.906569,0,6,10,1,92.1675,87.3875,-4.19,91.02520833333334,21.558402098571367,92.46635416666666,15431.931011,0.3994440168696482,23201.595489
