Stock_1,Stock_2,Correlation,Test_Statistic,P_Value,Cointegrated
NVDA,SBUX,0.3485501884087478,0.5468126033208548,0.9929367130087713,False
GS,MA,0.5682630618148787,0.6023510751865037,0.9932252762175108,False
GS,MSFT,0.4813053893083868,0.7514030432390771,0.9937514558508332,False
JPM,PEP,0.35283026769582004,0.7649112305533037,0.993782609579919,False
MS,PEP,0.348332873767396,0.7932185317317493,0.9938394211390539,False
MS,SBUX,0.48529508666203414,0.8561758816136154,0.9939252935012131,False
JPM,SBUX,0.4735551099371736,0.9079357050028029,0.9939545271723687,False
GS,SBUX,0.47789149791153984,2.062596292699579,1.0,False
GS,PEP,0.32636604635411287,2.0179352951063088,1.0,False
GOOGL,INTC,0.4119369898841329,2.0524737852623685,1.0,False
GS,INTC,0.42719888657849125,2.0502202065089095,1.0,False
GOOGL,PEP,0.30433612024759205,1.932406817304738,1.0,False
NVDA,PEP,0.1983333359461573,0.9543390375768439,1.0,False
