datetime,renewable_total_mwh,prediction_mwh,absolute_error,error_mwh
2025-02-21,705682.75,694105.148,23342.064453125,11577.601999999955
2025-02-22,721966.0,730448.476,22313.5390625,-8482.476000000024
2025-02-23,510690.25,508740.2925,24948.56640625,1949.9575000000186
2025-02-24,827664.75,823213.5279999999,20094.341796875,4451.222000000067
2025-02-25,280602.75,290522.7557,24719.199462890625,-9920.00569999998
2025-02-26,276311.0,274920.23960000003,12822.6875,1390.76039999997
2025-02-27,339527.75,346994.4807,13058.73876953125,-7466.730700000015
2025-02-28,245605.23,249773.3893,13300.82859375,-4168.159299999999
2025-03-01,252144.88,248519.3432,8048.721035156248,3625.5368000000017
2025-03-02,504472.08,495651.547,22126.193632812505,8820.532999999996
2025-03-03,614924.25,607561.3845,29935.05628906251,7362.865499999956
2025-03-04,599144.79,597303.371,28918.1790234375,1841.4189999999944
2025-03-05,764611.1900000001,762189.373,30387.430703124995,2421.817000000039
2025-03-06,590715.64,598116.6393,32010.33498046876,-7400.999300000025
2025-03-07,424673.25,427066.4934,22483.412314453122,-2393.2433999999776
2025-03-08,496902.71,490654.5211,33397.790498046874,6248.188900000008
2025-03-09,459711.17000000004,470774.526,23453.486757812494,-11063.35599999997
2025-03-10,299061.41000000003,310793.4316,17617.676318359372,-11732.021599999978
2025-03-11,272680.27999999997,280167.0696,9139.46025390626,-7486.789600000018
2025-03-12,189491.37,202064.6146,14225.9473046875,-12573.244600000005
2025-03-13,239673.84,247071.6546,15561.039921875003,-7397.814600000012
2025-03-14,269690.31,272669.2697,8458.871874999997,-2978.9597000000067
2025-03-15,465711.39,462436.449,15242.846484374995,3274.9409999999916
2025-03-16,535614.74,524574.249,24837.537734374997,11040.491000000038
2025-03-17,616307.67,628809.2505,22906.196796875003,-12501.580499999924
2025-03-18,560736.19,543192.981,34687.53236328124,17543.208999999915
2025-03-19,447852.85,447505.8528,24073.050039062502,346.9971999999834
2025-03-20,427852.63,430057.4874,23475.54762207031,-2204.857399999979
2025-03-21,745362.04,713409.723,38802.363613281246,31952.31700000004
2025-03-22,940627.3099999999,931158.182,22627.507578125,9469.12799999991
2025-03-23,544826.36,563731.623,21610.708925781255,-18905.263000000035
2025-03-24,240771.97,240232.766,12066.158212890623,539.2039999999979
2025-03-25,458430.1,456047.2343,13222.953281249997,2382.8656999999657
2025-03-26,376028.81,381865.3134,12529.493945312497,-5836.503399999987
2025-03-27,459940.74,454687.9092,16388.76585937499,5252.830799999996
2025-03-28,555246.43,545392.6215,33382.75890625,9853.808500000043
