Date,AAPL,AMD,BAC,CVX,GOOGL,GS,INTC,JPM,KO,MA,MCD,MS,MSFT,NVDA,PEP,SBUX,V,XOM
2020-05-29,76.95960235595703,53.79999923706055,20.72507095336914,70.68563079833984,71.0460205078125,170.8369903564453,56.098514556884766,82.68770599365234,38.6556510925293,290.3357849121094,162.26010131835938,36.74403381347656,174.1779327392578,8.830543518066406,108.18273162841797,68.14105224609375,186.94618225097656,35.11164093017578
2020-06-01,77.90603637695312,53.630001068115234,21.146102905273438,71.52584075927734,71.11292266845703,173.82781982421875,55.14467239379883,83.78385925292969,38.912376403808594,290.8278503417969,163.20936584472656,37.159698486328125,173.77871704101562,8.761646270751953,109.36695861816406,68.42935943603516,186.09397888183594,35.73710632324219
2020-06-02,78.26673126220703,53.540000915527344,21.343730926513672,72.99042510986328,71.48165130615234,177.4882354736328,55.376441955566406,84.06428527832031,38.83783721923828,292.94122314453125,163.36607360839844,37.89124298095703,175.75576782226562,8.780550003051758,109.0708999633789,67.95755767822266,188.0186004638672,36.532474517822266
2020-06-03,78.69757080078125,52.72999954223633,22.331865310668945,74.90982055664062,71.33000183105469,183.0786895751953,55.20707702636719,88.60184478759766,39.66593551635742,296.299072265625,168.330078125,38.99689865112305,176.18348693847656,8.725080490112305,109.2271499633789,69.53023529052734,188.50692749023438,38.02279281616211
2020-06-04,78.0197982788086,52.630001068115234,23.171154022216797,74.216064453125,70.09345245361328,186.7738494873047,56.134178161621094,90.44581604003906,39.6824951171875,290.7990417480469,168.28652954101562,40.47663116455078,173.86427307128906,8.726078987121582,108.21026611328125,68.79631042480469,185.4141845703125,37.914695739746094
2020-06-05,80.24187469482422,53.099998474121094,24.321924209594727,77.70793914794922,71.3681640625,189.46913146972656,57.35544204711914,94.51603698730469,40.6513671875,300.94036865234375,171.70030212402344,41.174930572509766,177.93243408203125,8.878868103027344,109.76004791259766,71.7669677734375,191.1305389404297,40.9880256652832
2020-06-08,80.71631622314453,52.970001220703125,24.693973541259766,79.5810775756836,71.7656478881836,191.98179626464844,56.7581787109375,96.40243530273438,41.280731201171875,299.5220031738281,176.4813690185547,41.69035339355469,179.03492736816406,8.764399528503418,109.56944274902344,73.00761413574219,191.1209259033203,42.269874572753906
2020-06-09,83.26519012451172,56.38999938964844,24.417095184326172,78.26294708251953,71.96585845947266,189.6256561279297,56.196571350097656,93.92970275878906,40.57683563232422,300.5639953613281,173.7555694580078,41.89817810058594,180.4036865234375,9.004287719726562,110.19927978515625,71.96791076660156,190.62306213378906,41.32778549194336
2020-06-10,85.4073715209961,57.439998626708984,23.015409469604492,75.2181396484375,72.59130096435547,185.64358520507812,56.93647384643555,90.1229019165039,40.26217269897461,302.1658630371094,170.51593017578125,40.47663116455078,187.0951385498047,9.323558807373047,111.16062927246094,69.03223419189453,191.9635467529297,39.111595153808594
2020-06-11,81.30691528320312,52.83000183105469,20.70521354675293,68.88957214355469,69.47891998291016,168.78506469726562,53.219146728515625,82.60271453857422,37.71161651611328,281.0340576171875,163.29640197753906,37.05161666870117,177.0484619140625,8.75568962097168,105.9477767944336,63.405513763427734,180.85635375976562,35.659889221191406
2020-06-12,82.00888061523438,53.5,21.440671920776367,71.2175064086914,70.02507019042969,175.43629455566406,52.88931655883789,84.86302947998047,38.10436248779297,287.3445739746094,164.74208068847656,38.47315979003906,178.44566345214844,8.891313552856445,106.90913391113281,66.7343521118164,184.0927734375,36.42435836791992
