Trade_ID,Entry_Time,Exit_Time,Entry_Price,Exit_Price,PnL,Holding_Hours,Strategy_ID
31,2023-03-11 13:00:00,2023-03-11 16:00:00,60.0,101.24,41.239999999999995,3.0,1
32,2023-03-12 13:00:00,2023-03-12 17:00:00,68.96,100.91,31.950000000000003,4.0,1
33,2023-03-13 00:00:00,2023-03-13 07:00:00,45.99,77.71,31.71999999999999,7.0,1
34,2023-03-13 12:00:00,2023-03-13 17:00:00,2.07,53.37,51.3,5.0,1
35,2023-03-17 00:00:00,2023-03-17 06:00:00,48.45,105.07,56.61999999999999,6.0,1
36,2023-03-18 13:00:00,2023-03-18 16:00:00,80.42,104.43,24.010000000000005,3.0,1
37,2023-03-22 00:00:00,2023-03-22 07:00:00,77.06,109.01,31.950000000000003,7.0,1
38,2023-03-22 10:00:00,2023-03-22 17:00:00,58.35,100.62,42.27,7.0,1
39,2023-03-24 12:00:00,2023-03-24 17:00:00,11.47,79.53,68.06,5.0,1
40,2023-03-27 14:00:00,2023-03-27 18:00:00,42.74,95.95,53.21,4.0,1
41,2023-03-30 01:00:00,2023-03-30 07:00:00,82.25,119.37,37.120000000000005,6.0,1
42,2023-03-30 12:00:00,2023-03-30 18:00:00,64.83,97.55,32.72,6.0,1
43,2023-04-01 02:00:00,2023-04-01 18:00:00,53.84,84.89,31.049999999999997,16.0,1
44,2023-04-02 13:00:00,2023-04-02 18:00:00,26.07,100.41,74.34,5.0,1
45,2023-04-08 14:00:00,2023-04-08 18:00:00,95.36,121.9,26.540000000000006,4.0,1
46,2023-04-09 11:00:00,2023-04-09 18:00:00,87.0,115.2,28.200000000000003,7.0,1
47,2023-04-10 10:00:00,2023-04-10 19:00:00,22.07,65.54,43.470000000000006,9.0,1
48,2023-04-13 03:00:00,2023-04-13 07:00:00,72.86,115.04,42.18000000000001,4.0,1
49,2023-04-15 13:00:00,2023-04-15 18:00:00,83.63,112.66,29.03,5.0,1
50,2023-04-18 15:00:00,2023-04-18 19:00:00,77.63,130.46,52.83000000000001,4.0,1
51,2023-04-19 11:00:00,2023-04-19 18:00:00,64.68,94.79,30.11,7.0,1
52,2023-04-21 12:00:00,2023-04-21 18:00:00,28.35,123.0,94.65,6.0,1
53,2023-04-22 13:00:00,2023-04-22 17:00:00,10.02,95.0,84.98,4.0,1
54,2023-04-23 13:00:00,2023-04-23 17:00:00,10.02,100.25,90.23,4.0,1
55,2023-04-25 13:00:00,2023-04-25 18:00:00,73.11,101.23,28.120000000000005,5.0,1
56,2023-04-29 12:00:00,2023-04-29 19:00:00,82.23,118.36,36.129999999999995,7.0,1
57,2023-04-30 09:00:00,2023-04-30 17:00:00,50.0,70.57,20.569999999999993,8.0,1
58,2023-05-01 14:00:00,2023-05-01 17:00:00,29.99,95.58,65.59,3.0,1
59,2023-05-03 12:00:00,2023-05-03 18:00:00,77.83,124.09,46.260000000000005,6.0,1
60,2023-05-04 13:00:00,2023-05-04 18:00:00,60.21,115.57,55.35999999999999,5.0,1
61,2023-05-06 12:00:00,2023-05-06 18:00:00,71.02,102.7,31.680000000000007,6.0,1
62,2023-05-07 10:00:00,2023-05-07 17:00:00,33.9,75.97,42.07,7.0,1
63,2023-05-09 12:00:00,2023-05-09 17:00:00,65.76,100.06,34.3,5.0,1
64,2023-05-12 12:00:00,2023-05-12 18:00:00,83.42,107.98,24.560000000000002,6.0,1
65,2023-05-13 10:00:00,2023-05-13 18:00:00,73.1,105.98,32.88000000000001,8.0,1
66,2023-05-14 12:00:00,2023-05-14 17:00:00,9.73,90.5,80.77,5.0,1
67,2023-05-16 00:00:00,2023-05-16 07:00:00,78.96,114.99,36.03,7.0,1
68,2023-05-16 13:00:00,2023-05-16 18:00:00,52.09,87.44,35.349999999999994,5.0,1
69,2023-05-17 12:00:00,2023-05-17 17:00:00,27.57,79.09,51.52,5.0,1
70,2023-05-18 14:00:00,2023-05-18 18:00:00,29.41,103.08,73.67,4.0,1
71,2023-05-20 09:00:00,2023-05-20 18:00:00,40.04,53.68,13.64,9.0,1
72,2023-05-21 13:00:00,2023-05-21 18:00:00,-25.03,41.34,66.37,5.0,1
73,2023-05-23 12:00:00,2023-05-23 19:00:00,43.88,95.27,51.38999999999999,7.0,1
74,2023-05-25 11:00:00,2023-05-25 18:00:00,55.56,94.16,38.599999999999994,7.0,1
75,2023-05-26 12:00:00,2023-05-26 18:00:00,21.02,88.28,67.26,6.0,1
76,2023-05-27 11:00:00,2023-05-27 18:00:00,1.45,84.85,83.39999999999999,7.0,1
77,2023-05-28 11:00:00,2023-05-28 18:00:00,-18.05,50.0,68.05,7.0,1
78,2023-05-29 13:00:00,2023-05-29 19:00:00,-95.11,72.08,167.19,6.0,1
79,2023-05-31 11:00:00,2023-05-31 18:00:00,46.42,86.43,40.010000000000005,7.0,1
80,2023-06-01 13:00:00,2023-06-01 18:00:00,9.35,87.86,78.51,5.0,1
81,2023-06-02 14:00:00,2023-06-02 18:00:00,36.82,85.96,49.13999999999999,4.0,1
82,2023-06-03 10:00:00,2023-06-03 18:00:00,27.36,75.0,47.64,8.0,1
83,2023-06-04 12:00:00,2023-06-04 18:00:00,-4.98,78.21,83.19,6.0,1
84,2023-06-09 14:00:00,2023-06-09 18:00:00,64.06,95.0,30.939999999999998,4.0,1
85,2023-06-10 10:00:00,2023-06-10 18:00:00,26.91,74.97,48.06,8.0,1
86,2023-06-11 12:00:00,2023-06-11 18:00:00,-19.62,83.82,103.44,6.0,1
87,2023-06-13 12:00:00,2023-06-13 18:00:00,56.12,101.38,45.26,6.0,1
88,2023-06-17 11:00:00,2023-06-17 18:00:00,69.99,115.31,45.32000000000001,7.0,1
89,2023-06-18 12:00:00,2023-06-18 18:00:00,45.79,107.23,61.440000000000005,6.0,1
90,2023-06-23 02:00:00,2023-06-23 07:00:00,91.79,128.94,37.14999999999999,5.0,1
91,2023-06-24 10:00:00,2023-06-24 18:00:00,57.64,99.77,42.129999999999995,8.0,1
92,2023-07-01 05:00:00,2023-07-01 18:00:00,84.11,77.14,-6.969999999999999,13.0,1
93,2023-07-02 10:00:00,2023-07-02 17:00:00,-37.0,-35.18,1.8200000000000003,7.0,1
94,2023-07-05 12:00:00,2023-07-05 18:00:00,0.05,83.2,83.15,6.0,1
95,2023-07-08 11:00:00,2023-07-08 18:00:00,46.32,107.3,60.98,7.0,1
96,2023-07-09 13:00:00,2023-07-09 18:00:00,36.99,105.1,68.10999999999999,5.0,1
97,2023-07-10 15:00:00,2023-07-10 18:00:00,72.22,122.67,50.45,3.0,1
98,2023-07-11 12:00:00,2023-07-11 18:00:00,57.76,121.58,63.82,6.0,1
99,2023-07-12 12:00:00,2023-07-12 18:00:00,15.87,99.36,83.49,6.0,1
100,2023-07-13 14:00:00,2023-07-13 19:00:00,50.02,117.36,67.34,5.0,1
101,2023-07-15 01:00:00,2023-07-15 18:00:00,53.46,74.51,21.050000000000004,17.0,1
102,2023-07-16 13:00:00,2023-07-16 18:00:00,-50.09,30.61,80.7,5.0,1
103,2023-07-19 14:00:00,2023-07-19 19:00:00,62.47,112.81,50.34,5.0,1
104,2023-07-22 09:00:00,2023-07-22 18:00:00,72.01,86.01,14.0,9.0,1
105,2023-07-23 04:00:00,2023-07-23 19:00:00,15.78,66.78,51.0,15.0,1
106,2023-07-26 14:00:00,2023-07-26 18:00:00,74.67,100.06,25.39,4.0,1
107,2023-07-29 11:00:00,2023-07-29 19:00:00,63.75,92.28,28.53,8.0,1
108,2023-07-30 09:00:00,2023-07-30 19:00:00,8.48,74.37,65.89,10.0,1
109,2023-08-02 12:00:00,2023-08-02 19:00:00,52.02,83.92,31.9,7.0,1
110,2023-08-03 00:00:00,2023-08-03 07:00:00,19.97,63.0,43.03,7.0,1
111,2023-08-05 12:00:00,2023-08-05 17:00:00,65.01,99.16,34.14999999999999,5.0,1
112,2023-08-06 10:00:00,2023-08-06 19:00:00,49.09,72.61,23.519999999999996,9.0,1
