Datetime,Price,Temperature,Humidity,WindSpeed,Rain,Volatility_24h,Spike_Flag,Negative_Price,Position,PnL,Cumulative_PnL
2023-06-07 17:00:00,94.22,24.5,45.0,15.8,0.0,21.713954234879257,0,0,0,0.0,3514.069999999995
2023-06-07 18:00:00,101.07,24.0,50.0,15.1,0.0,21.71154569961809,0,0,0,0.0,3514.069999999995
2023-06-07 19:00:00,138.52,23.0,54.0,13.3,0.0,22.020450767245705,0,0,0,0.0,3514.069999999995
2023-06-07 20:00:00,147.7,22.1,59.0,14.0,0.0,21.556904434641954,1,0,0,0.0,3514.069999999995
2023-06-07 21:00:00,127.55,21.5,55.0,15.8,0.0,21.61133726472065,0,0,0,-0.0,3514.069999999995
2023-06-07 22:00:00,105.82,20.6,61.0,13.3,0.0,21.63628530611862,0,0,0,-0.0,3514.069999999995
2023-06-07 23:00:00,94.9,19.8,63.0,14.0,0.0,21.553408873259688,0,0,0,-0.0,3514.069999999995
2023-06-08 00:00:00,93.93,19.6,63.0,12.6,0.0,21.548039114356822,0,0,0,-0.0,3514.069999999995
2023-06-08 01:00:00,89.26,18.6,65.0,10.4,0.0,21.561134165940285,0,0,0,-0.0,3514.069999999995
2023-06-08 02:00:00,83.04,17.9,67.0,10.1,0.0,21.765769429094803,0,0,0,-0.0,3514.069999999995
2023-06-08 03:00:00,79.9,17.4,69.0,9.0,0.0,22.079477437497957,0,0,0,-0.0,3514.069999999995
2023-06-08 04:00:00,82.04,17.2,70.0,6.8,0.0,22.31054697943725,0,0,0,0.0,3514.069999999995
2023-06-08 05:00:00,88.44,17.2,70.0,6.8,0.0,22.429422963881414,0,0,0,0.0,3514.069999999995
2023-06-08 06:00:00,94.01,17.6,70.0,9.4,0.0,21.62591195614,0,0,0,0.0,3514.069999999995
2023-06-08 07:00:00,93.26,20.7,61.0,10.1,0.0,19.012156904066998,0,0,0,-0.0,3514.069999999995
2023-06-08 08:00:00,91.4,21.3,57.0,11.5,0.0,18.598268950925213,0,0,0,-0.0,3514.069999999995
2023-06-08 09:00:00,83.78,23.4,55.0,11.5,0.0,18.714690574440052,0,0,0,-0.0,3514.069999999995
2023-06-08 10:00:00,74.64,24.9,50.0,13.0,0.0,19.137936810488537,0,0,0,-0.0,3514.069999999995
2023-06-08 11:00:00,68.5,25.6,47.0,10.1,0.0,19.76650306650607,0,0,0,-0.0,3514.069999999995
2023-06-08 12:00:00,64.22,27.5,41.0,10.4,0.0,20.456730152065486,0,0,0,-0.0,3514.069999999995
2023-06-08 13:00:00,63.84,27.3,39.0,11.9,0.0,21.07178544518139,0,0,0,-0.0,3514.069999999995
2023-06-08 14:00:00,64.06,21.1,82.0,13.0,1.6,21.60086919547294,0,0,0,0.0,3514.069999999995
2023-06-08 15:00:00,67.93,25.8,50.0,5.4,0.0,21.983153019223565,0,0,0,0.0,3514.069999999995
2023-06-08 16:00:00,71.17,17.8,78.0,16.6,7.9,22.23291560348789,0,0,0,0.0,3514.069999999995
2023-06-08 17:00:00,76.1,19.6,72.0,9.7,0.3,22.395177405290262,0,0,0,0.0,3514.069999999995
