Date,Daily_PnL,Cumulative_PnL,Running_Peak,Drawdown,Rolling_Volatility,Rolling_Mean,Rolling_Sharpe,VaR95,Month
2023-02-15,0.0,581.44,581.44,0.0,20.333064448947603,12.892666666666663,10.065612044489706,0.0,2023-02
2023-02-16,0.0,581.44,581.44,0.0,20.333064448947603,12.892666666666663,10.065612044489706,0.0,2023-02
2023-02-17,33.760000000000005,615.2,615.2,0.0,20.211302801144207,12.786666666666664,10.042996366042475,0.0,2023-02
2023-02-18,0.0,615.2,615.2,0.0,20.211302801144207,12.786666666666664,10.042996366042475,0.0,2023-02
2023-02-19,0.0,615.2,615.2,0.0,20.211302801144207,12.786666666666664,10.042996366042475,0.0,2023-02
2023-02-20,16.11999999999999,631.32,631.32,0.0,17.56281254149846,11.124666666666664,10.055257840602783,0.0,2023-02
2023-02-21,0.0,631.32,631.32,0.0,17.56281254149846,11.124666666666664,10.055257840602783,0.0,2023-02
2023-02-22,0.0,631.32,631.32,0.0,17.56281254149846,11.124666666666664,10.055257840602783,0.0,2023-02
2023-02-23,0.0,631.32,631.32,0.0,17.56281254149846,11.124666666666664,10.055257840602783,0.0,2023-02
2023-02-24,69.45000000000002,700.7700000000001,700.7700000000001,0.0,20.39474974414828,13.439666666666664,10.460932195691239,0.0,2023-02
2023-02-25,0.0,700.7700000000001,700.7700000000001,0.0,19.53563176623031,11.884666666666666,9.657391004652377,0.0,2023-02
2023-02-26,74.9,775.6700000000001,775.6700000000001,0.0,21.568044063211744,12.681666666666665,9.333957992152135,0.0,2023-02
2023-02-27,0.0,775.6700000000001,775.6700000000001,0.0,21.370736950701808,11.615666666666668,8.628293553876727,0.0,2023-02
2023-02-28,0.0,775.6700000000001,775.6700000000001,0.0,20.612742683096297,10.176666666666666,7.837364369084391,0.0,2023-02
2023-03-01,0.0,775.6700000000001,775.6700000000001,0.0,20.612742683096297,10.176666666666666,7.837364369084391,0.0,2023-03
2023-03-02,0.0,775.6700000000001,775.6700000000001,0.0,19.71624118719701,8.737,7.034585036355291,0.0,2023-03
2023-03-03,0.0,775.6700000000001,775.6700000000001,0.0,19.71624118719701,8.737,7.034585036355291,0.0,2023-03
2023-03-04,0.0,775.6700000000001,775.6700000000001,0.0,19.71624118719701,8.737,7.034585036355291,0.0,2023-03
2023-03-05,0.0,775.6700000000001,775.6700000000001,0.0,19.54544067127888,7.918,6.430878453958759,0.0,2023-03
2023-03-06,0.6400000000000006,776.3100000000001,776.3100000000001,0.0,19.536847755712405,7.939333333333334,6.451041182783538,0.0,2023-03
2023-03-07,0.0,776.3100000000001,776.3100000000001,0.0,19.073540525055105,6.893666666666666,5.73745422799197,0.0,2023-03
2023-03-08,0.0,776.3100000000001,776.3100000000001,0.0,19.073540525055105,6.893666666666666,5.73745422799197,0.0,2023-03
