Country,ISO3,Date,Price,Bioenergy,Coal,Demand,Gas,Hydro,Net Imports,Nuclear,Renewables,Solar,Total Generation,Wind
Germany,DEU,2022-01-01,167.80935483870968,4.15,20.626666666666665,48.42,9.973333333333334,1.5233333333333334,-4.02,2.813333333333333,22.743333333333336,1.27,52.44,15.26
Germany,DEU,2022-02-01,129.85785714285714,3.82,15.146666666666667,44.99,7.66,1.5433333333333332,-5.98,2.66,28.45,2.68,50.97,19.956666666666667
Germany,DEU,2022-03-01,252.07290322580647,4.18,22.7,46.37,9.563333333333334,1.3633333333333333,-2.97,2.9933333333333336,19.993333333333332,5.986666666666667,49.34,7.953333333333333
Germany,DEU,2022-04-01,168.77833333333334,4.17,17.793333333333333,43.44,7.293333333333333,1.6533333333333333,-3.03,3.0066666666666664,24.636666666666667,6.656666666666666,46.47,11.729999999999999
Germany,DEU,2022-05-01,177.0409677419355,4.423333333333333,17.013333333333332,42.59,7.283333333333332,1.91,-0.36,2.5,24.27,9.023333333333333,42.95,8.553333333333333
Germany,DEU,2022-06-01,218.16966666666667,4.166666666666667,18.55333333333333,40.87,7.13,1.9133333333333333,-0.17,2.4766666666666666,22.486666666666665,9.78,41.04,6.29
Germany,DEU,2022-07-01,317.03064516129035,4.1,18.816666666666666,42.04,6.423333333333333,1.4466666666666665,-1.18,3.23,23.076666666666664,9.323333333333332,43.22,7.873333333333334
Germany,DEU,2022-08-01,463.5945161290323,4.206666666666666,21.24,41.2,6.96,1.3199999999999998,-0.21,3.353333333333333,19.893333333333334,8.81,41.41,5.223333333333334
Germany,DEU,2022-09-01,352.8146666666667,4.12,21.536666666666665,40.06,6.303333333333334,1.5,-1.9,3.263333333333333,20.52,5.663333333333334,41.96,8.896666666666667
Germany,DEU,2022-10-01,155.3051612903226,4.426666666666667,18.146666666666665,41.46,7.213333333333334,1.7999999999999998,-1.1,2.973333333333333,22.903333333333336,4.256666666666667,42.56,12.06
Germany,DEU,2022-11-01,173.19500000000002,4.243333333333333,20.99,42.55,7.506666666666667,1.42,-2.85,3.0233333333333334,21.606666666666666,2.0366666666666666,45.4,13.473333333333334
Germany,DEU,2022-12-01,250.70774193548385,4.403333333333333,22.12,42.78,9.67,1.49,-3.76,2.846666666666667,19.546666666666667,0.8433333333333333,46.54,12.32
Germany,DEU,2023-01-01,117.22258064516129,4.08,19.650000000000002,44.76,8.443333333333333,1.5733333333333333,-3.78,1.7666666666666666,24.286666666666665,1.2133333333333334,48.54,16.98333333333333
Germany,DEU,2023-02-01,127.80714285714285,3.973333333333333,20.613333333333333,41.7,8.996666666666666,1.3366666666666667,-3.06,2.0733333333333333,21.3,2.9966666666666666,44.76,12.533333333333333
Germany,DEU,2023-03-01,101.23129032258065,4.08,16.80666666666667,44.19,8.113333333333333,1.7266666666666666,-2.27,2.316666666666667,25.333333333333332,4.49,46.46,14.526666666666666
Germany,DEU,2023-04-01,102.143,4.406666666666667,15.276666666666666,39.9,7.443333333333334,2.17,0.14,1.1366666666666667,25.596666666666668,7.196666666666666,39.76,11.336666666666666
Germany,DEU,2023-05-01,82.02903225806452,4.7,11.326666666666668,39.29,6.826666666666667,2.7133333333333334,3.12,0.0,28.76,11.056666666666667,36.17,9.846666666666668
Germany,DEU,2023-06-01,93.90433333333334,4.51,12.32,37.99,7.126666666666666,1.8833333333333335,3.88,0.0,26.98,12.71,34.11,7.52
Germany,DEU,2023-07-01,78.11870967741935,4.5,10.21,38.72,6.603333333333333,1.7000000000000002,3.14,0.0,29.586666666666662,10.816666666666668,35.58,12.21
Germany,DEU,2023-08-01,94.35354838709678,4.6866666666666665,12.963333333333333,39.08,7.363333333333333,2.3066666666666666,5.51,0.0,25.92,9.72,33.57,8.833333333333334
Germany,DEU,2023-09-01,100.80666666666666,4.536666666666666,14.983333333333334,38.11,6.696666666666666,1.8966666666666667,4.28,0.0,25.083333333333332,9.783333333333333,33.83,8.426666666666666
Germany,DEU,2023-10-01,87.09612903225806,4.42,15.343333333333334,40.7,7.266666666666667,1.2066666666666668,1.12,0.0,26.650000000000002,4.54,39.58,16.033333333333335
Germany,DEU,2023-11-01,90.89733333333334,4.19,16.646666666666665,42.5,8.1,2.0566666666666666,-0.38,0.0,26.38,1.9799999999999998,42.88,17.669999999999998
Germany,DEU,2023-12-01,69.0783870967742,4.293333333333334,15.92,41.99,8.366666666666667,2.3233333333333337,-2.82,0.0,27.709999999999997,1.18,44.81,19.509999999999998
Germany,DEU,2024-01-01,76.23096774193547,4.096666666666667,14.333333333333334,45.87,10.343333333333334,2.2033333333333336,-1.58,0.0,27.983333333333334,2.1466666666666665,47.45,18.99
Germany,DEU,2024-02-01,61.23241379310345,4.14,12.340000000000002,41.97,8.603333333333333,2.14,-0.21,0.0,28.900000000000002,3.316666666666667,42.18,18.823333333333334
Germany,DEU,2024-03-01,63.18451612903226,4.403333333333333,13.0,42.16,9.053333333333333,2.1933333333333334,1.7,0.0,27.196666666666662,6.5,40.46,13.703333333333333
Germany,DEU,2024-04-01,61.95933333333333,4.433333333333334,9.183333333333334,40.3,8.096666666666666,2.2566666666666664,2.39,0.0,30.083333333333332,8.956666666666667,37.91,14.056666666666667
Germany,DEU,2024-05-01,67.5283870967742,4.703333333333333,9.303333333333333,38.82,7.166666666666667,2.733333333333333,3.42,0.0,29.819999999999997,12.159999999999998,35.4,9.773333333333332
Germany,DEU,2024-06-01,72.87766666666667,4.363333333333333,10.63,38.35,6.603333333333334,2.5733333333333337,3.58,0.0,29.163333333333338,12.583333333333334,34.77,9.253333333333334
Germany,DEU,2024-07-01,68.4041935483871,4.3966666666666665,10.4,39.66,6.386666666666667,2.5799999999999996,4.3,0.0,29.563333333333333,13.046666666666667,35.36,9.09
Germany,DEU,2024-08-01,81.76387096774194,4.46,11.543333333333331,38.93,6.543333333333333,2.203333333333333,4.27,0.0,28.36,12.743333333333332,34.66,8.496666666666668
Germany,DEU,2024-09-01,78.55300000000001,4.263333333333334,11.613333333333332,39.06,6.583333333333333,2.1599999999999997,2.59,0.0,29.11,8.956666666666667,36.47,13.326666666666666
Germany,DEU,2024-10-01,83.98225806451612,4.510000000000001,15.37,41.18,7.826666666666667,2.3866666666666667,3.39,0.0,25.423333333333332,5.256666666666667,37.79,12.83
Germany,DEU,2024-11-01,111.61466666666666,4.253333333333334,16.703333333333333,42.41,11.213333333333333,1.5733333333333333,1.19,0.0,23.00666666666667,2.5833333333333335,41.22,14.17
Germany,DEU,2024-12-01,105.64612903225807,4.363333333333333,13.946666666666667,42.85,10.443333333333333,1.92,-0.16,0.0,26.49,1.9666666666666668,43.01,17.79
Greece,GRC,2022-01-01,227.35193548387096,0.0,4.756666666666667,4.53,14.910000000000002,5.366666666666667,0.59,0.0,15.483333333333333,2.64,3.94,7.476666666666667
Greece,GRC,2022-02-01,211.72892857142855,0.0,4.666666666666667,3.95,16.776666666666667,1.89,0.67,0.0,13.446666666666667,3.47,3.28,8.086666666666668
Greece,GRC,2022-03-01,272.31967741935483,0.0,5.526666666666666,4.41,17.2,2.3366666666666664,-0.07,0.0,12.763333333333334,3.426666666666667,4.48,7.0
Greece,GRC,2022-04-01,246.91033333333334,0.0,2.486666666666667,3.32,12.28,2.556666666666667,0.78,0.0,19.656666666666666,7.003333333333333,2.54,10.096666666666668
Greece,GRC,2022-05-01,225.07354838709676,0.0,2.8200000000000003,3.53,15.363333333333335,2.98,0.65,0.0,16.446666666666665,7.153333333333332,2.88,6.313333333333333
Greece,GRC,2022-06-01,240.82933333333332,0.0,4.54,3.93,16.080000000000002,2.733333333333333,0.13,0.0,14.49,5.29,3.8,6.466666666666666
Greece,GRC,2022-07-01,338.31580645161296,0.0,5.366666666666667,4.64,16.580000000000002,2.52,-0.51,0.0,13.829999999999998,4.706666666666667,5.15,6.603333333333333
Greece,GRC,2022-08-01,436.7622580645161,0.0,6.326666666666667,4.32,17.12333333333333,2.7633333333333336,-0.36,0.0,12.17,4.333333333333333,4.68,5.073333333333333
Greece,GRC,2022-09-01,416.4066666666667,0.0,4.5200000000000005,3.58,14.816666666666668,2.52,0.44,0.0,15.453333333333333,6.033333333333332,3.14,6.8999999999999995
Greece,GRC,2022-10-01,232.15483870967742,0.0,3.6266666666666665,3.29,10.736666666666666,1.9433333333333334,0.47,0.0,20.186666666666664,6.206666666666667,2.82,12.036666666666667
Greece,GRC,2022-11-01,227.844,0.0,3.8800000000000003,3.36,14.96,1.9400000000000002,0.35,0.0,15.863333333333332,3.426666666666667,3.01,10.496666666666666
Greece,GRC,2022-12-01,276.9664516129032,0.0,5.319999999999999,3.61,17.383333333333333,2.5733333333333333,0.26,0.0,12.246666666666668,2.5733333333333333,3.35,7.1000000000000005
Greece,GRC,2023-01-01,191.6574193548387,0.0,5.2,3.89,11.853333333333333,3.733333333333334,1.04,0.0,17.576666666666664,4.456666666666667,2.85,9.386666666666667
Greece,GRC,2023-02-01,156.2510714285714,0.0,6.903333333333333,3.78,10.973333333333334,2.6999999999999997,0.59,0.0,16.94333333333333,5.396666666666667,3.19,8.846666666666666
Greece,GRC,2023-03-01,122.75032258064515,0.0,4.903333333333333,3.69,11.803333333333333,1.656666666666667,0.58,0.0,18.026666666666667,6.973333333333334,3.11,9.396666666666667
Greece,GRC,2023-04-01,120.44066666666666,0.0,3.453333333333333,3.27,14.37,1.68,0.41,0.0,16.8,7.803333333333334,2.86,7.316666666666666
Greece,GRC,2023-05-01,105.45516129032258,0.0,2.56,3.36,12.013333333333334,1.866666666666667,0.61,0.0,19.94,8.48,2.75,9.593333333333334
Greece,GRC,2023-06-01,91.59833333333333,0.0,2.3800000000000003,3.63,15.766666666666666,3.036666666666667,0.34,0.0,16.656666666666666,9.013333333333334,3.29,4.6066666666666665
Greece,GRC,2023-07-01,112.63322580645162,0.0,4.656666666666667,5.4,15.123333333333333,2.7466666666666666,0.69,0.0,15.736666666666666,8.69,4.71,4.3
Greece,GRC,2023-08-01,109.33548387096775,0.0,3.0199999999999996,4.85,13.236666666666666,2.813333333333334,0.26,0.0,19.086666666666666,8.6,4.59,7.673333333333333
Greece,GRC,2023-09-01,101.93033333333332,0.0,1.7533333333333332,3.76,14.24,2.7566666666666664,-0.14,0.0,19.023333333333333,7.826666666666667,3.9,8.44
Greece,GRC,2023-10-01,111.15741935483871,0.0,3.5700000000000003,3.52,13.56,3.64,-0.09,0.0,17.813333333333336,7.569999999999999,3.61,6.603333333333333
Greece,GRC,2023-11-01,105.45966666666666,0.0,4.306666666666667,3.42,11.396666666666668,2.53,0.29,0.0,19.013333333333335,5.496666666666667,3.13,10.986666666666666
Greece,GRC,2023-12-01,102.20096774193549,0.0,4.883333333333334,3.92,12.36,4.236666666666666,0.33,0.0,17.713333333333335,4.526666666666666,3.59,8.950000000000001
Greece,GRC,2024-01-01,92.99483870967742,0.0,3.4933333333333336,4.18,12.75,2.5833333333333335,0.15,0.0,18.863333333333333,4.57,4.03,11.71
Greece,GRC,2024-02-01,73.57000000000001,0.0,3.953333333333333,3.7,12.64,2.2800000000000002,0.37,0.0,18.223333333333333,6.216666666666666,3.33,9.726666666666667
Greece,GRC,2024-03-01,67.41838709677418,0.0,2.983333333333333,3.56,14.786666666666667,1.9866666666666666,0.09,0.0,17.110000000000003,8.063333333333334,3.47,7.06
Greece,GRC,2024-04-01,60.09666666666667,0.0,2.143333333333333,3.25,12.356666666666667,1.7733333333333332,-0.25,0.0,20.323333333333334,9.38,3.5,9.17
Greece,GRC,2024-05-01,81.21129032258065,0.0,0.5033333333333333,3.42,16.650000000000002,1.9433333333333334,-0.13,0.0,17.713333333333335,9.35,3.55,6.420000000000001
Greece,GRC,2024-06-01,98.91433333333333,0.0,1.5166666666666666,4.74,15.866666666666667,2.3666666666666667,0.17,0.0,17.946666666666665,9.4,4.57,6.18
Greece,GRC,2024-07-01,135.22903225806454,0.0,2.5966666666666667,5.63,15.589999999999998,2.2733333333333334,0.05,0.0,17.62666666666667,8.663333333333334,5.58,6.69
Greece,GRC,2024-08-01,129.81129032258065,0.0,2.17,5.05,16.04,2.356666666666667,0.15,0.0,17.296666666666667,9.583333333333334,4.9,5.3566666666666665
Greece,GRC,2024-09-01,112.345,0.0,1.5566666666666666,4.0,16.246666666666666,1.6866666666666665,0.31,0.0,17.16,10.413333333333332,3.69,5.0600000000000005
Greece,GRC,2024-10-01,90.05387096774194,0.0,0.6766666666666666,3.7,13.69,0.9333333333333335,-0.01,0.0,20.52,9.986666666666666,3.71,9.6
Greece,GRC,2024-11-01,136.547,0.0,3.35,3.79,17.226666666666667,0.7833333333333333,-0.66,0.0,14.799999999999999,5.6433333333333335,4.45,8.373333333333333
Greece,GRC,2024-12-01,129.83129032258066,0.0,3.59,4.06,17.273333333333333,1.3266666666666667,-0.4,0.0,14.533333333333333,4.616666666666666,4.46,8.59
Italy,ITA,2022-01-01,224.49064516129033,2.5,2.7433333333333336,26.55,26.38,4.083333333333333,2.55,0.0,13.993333333333332,2.243333333333333,24.0,4.333333333333333
Italy,ITA,2022-02-01,211.76464285714286,2.5100000000000002,3.9233333333333333,24.59,24.293333333333333,3.0766666666666667,3.52,0.0,14.003333333333332,3.2266666666666666,21.07,4.34
Italy,ITA,2022-03-01,307.97258064516126,2.63,3.8866666666666667,26.59,25.086666666666662,2.6933333333333334,3.46,0.0,13.950000000000001,4.136666666666667,23.13,3.6300000000000003
Italy,ITA,2022-04-01,245.79166666666666,2.6666666666666665,3.1466666666666665,23.56,20.716666666666665,3.533333333333333,3.42,0.0,17.513333333333332,5.63,20.14,4.763333333333333
Italy,ITA,2022-05-01,230.0390322580645,2.63,3.59,25.05,19.506666666666664,6.3,4.56,0.0,18.240000000000002,6.1866666666666665,20.49,2.2166666666666663
Italy,ITA,2022-06-01,271.673,2.27,3.8366666666666664,27.11,21.456666666666667,6.133333333333333,3.91,0.0,17.283333333333335,5.84,23.2,2.273333333333333
Italy,ITA,2022-07-01,441.7738709677419,2.3066666666666666,4.196666666666666,30.17,22.88,5.633333333333333,4.74,0.0,16.26,5.8933333333333335,25.43,1.68
Italy,ITA,2022-08-01,543.5554838709678,2.5566666666666666,3.3233333333333337,25.22,22.546666666666667,4.836666666666667,2.77,0.0,16.05666666666667,5.613333333333333,22.45,2.2066666666666666
