Country,ISO3,Date,Metric,Unit,Value
Belgium,BEL,2015-08-01,Coal,TWh,0.25
Belgium,BEL,2015-08-01,Gas,TWh,1.49
Belgium,BEL,2015-08-01,Hydro,TWh,0.0
Belgium,BEL,2015-08-01,Nuclear,TWh,1.39
Belgium,BEL,2015-08-01,Solar,TWh,0.38
Belgium,BEL,2015-08-01,Wind,TWh,0.27
Belgium,BEL,2015-08-01,Total Generation,TWh,4.49
Belgium,BEL,2015-08-01,Net Imports,TWh,2.26
Belgium,BEL,2015-08-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-08-01,Coal,mtCO2,0.26
Belgium,BEL,2015-08-01,Gas,mtCO2,0.63
Belgium,BEL,2015-08-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-08-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-08-01,Solar,mtCO2,0.02
Belgium,BEL,2015-08-01,Wind,mtCO2,0.0
Belgium,BEL,2015-09-01,Demand,TWh,6.93
Belgium,BEL,2015-09-01,Bioenergy,%,3.93
Belgium,BEL,2015-09-01,Coal,%,6.0
Belgium,BEL,2015-09-01,Gas,%,41.41
Belgium,BEL,2015-09-01,Hydro,%,0.21
Belgium,BEL,2015-09-01,Nuclear,%,23.6
Belgium,BEL,2015-09-01,Solar,%,5.38
Belgium,BEL,2015-09-01,Wind,%,7.45
Belgium,BEL,2015-09-01,Bioenergy,TWh,0.19
Belgium,BEL,2015-09-01,Coal,TWh,0.29
Belgium,BEL,2015-09-01,Gas,TWh,2.0
Belgium,BEL,2015-09-01,Hydro,TWh,0.01
Belgium,BEL,2015-09-01,Nuclear,TWh,1.14
Belgium,BEL,2015-09-01,Solar,TWh,0.26
Belgium,BEL,2015-09-01,Wind,TWh,0.36
Belgium,BEL,2015-09-01,Total Generation,TWh,4.83
Belgium,BEL,2015-09-01,Net Imports,TWh,2.1
Belgium,BEL,2015-09-01,Bioenergy,mtCO2,0.04
Belgium,BEL,2015-09-01,Coal,mtCO2,0.3
Belgium,BEL,2015-09-01,Gas,mtCO2,0.84
Belgium,BEL,2015-09-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-09-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-09-01,Solar,mtCO2,0.01
Belgium,BEL,2015-09-01,Wind,mtCO2,0.0
Belgium,BEL,2015-10-01,Demand,TWh,7.37
Belgium,BEL,2015-10-01,Bioenergy,%,3.63
Belgium,BEL,2015-10-01,Coal,%,5.08
Belgium,BEL,2015-10-01,Gas,%,35.75
Belgium,BEL,2015-10-01,Hydro,%,0.0
Belgium,BEL,2015-10-01,Nuclear,%,37.21
Belgium,BEL,2015-10-01,Solar,%,2.9
