Date,AAPL,AMZN,BAC,COST,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NKE,NVDA,PEP,PFE,SPY,TSLA,UNH,V,WMT,XOM
2022-02-11,165.07875061035156,153.2935028076172,42.82016372680664,485.2852478027344,115.91226196289062,144.9206085205078,133.10226440429688,312.1573486328125,147.53297424316406,137.4574432373047,52.79937744140625,359.9185791015625,217.63880920410156,284.21002197265625,129.49546813964844,23.873577117919922,145.85879516601562,40.30879211425781,414.4371337890625,286.6666564941406,440.9410400390625,217.47384643554688,42.64760208129883,69.42195892333984
2022-02-14,165.31370544433594,155.16700744628906,42.373382568359375,482.32403564453125,114.12525177001953,146.2586212158203,134.33485412597656,313.2890930175781,145.67681884765625,136.18043518066406,53.140926361083984,364.19158935546875,215.80490112304688,284.1714172363281,130.79795837402344,24.190580368041992,144.23219299316406,39.5308723449707,413.0823059082031,291.9200134277344,437.50103759765625,218.10293579101562,42.21270751953125,68.35741424560547
2022-02-15,169.14108276367188,156.510498046875,42.704002380371094,489.3319091796875,113.28986358642578,150.0108184814453,135.40782165527344,314.80401611328125,147.1811065673828,138.17190551757812,53.34234619140625,371.3750305175781,219.07618713378906,289.440673828125,134.48388671875,26.411563873291016,143.59193420410156,39.5229377746582,419.74395751953125,307.4766540527344,441.0331726074219,220.50332641601562,42.34507369995117,67.50053405761719
2022-02-16,168.90621948242188,158.10049438476562,42.605709075927734,487.8846130371094,113.32363891601562,151.59120178222656,136.52740478515625,311.97906494140625,147.0930938720703,138.42193603515625,53.333587646484375,372.7279357910156,214.65499877929688,289.1028137207031,135.32447814941406,26.427507400512695,143.88609313964844,39.43562316894531,420.2144470214844,307.7966613769531,442.71160888671875,221.47119140625,42.08035659790039,67.8121337890625
2022-02-17,165.31370544433594,154.65249633789062,41.16705322265625,490.3699035644531,112.74141693115234,148.29469299316406,131.37405395507812,310.0630798339844,146.19581604003906,135.23377990722656,54.402008056640625,363.74395751953125,205.90184020996094,280.63726806640625,131.91575622558594,24.42982292175293,144.2754669189453,38.81646728515625,411.2380676269531,292.1166687011719,433.7568054199219,217.39639282226562,43.76634216308594,67.7082748413086
2022-02-18,163.76705932617188,152.60150146484375,41.06875228881836,488.14178466796875,112.58109283447266,146.7530975341797,129.2568359375,309.1096496582031,144.6287841796875,135.8678436279297,54.76982116699219,360.0939025878906,204.3653564453125,277.93450927734375,132.0543212890625,23.567548751831055,145.10606384277344,38.52275466918945,408.5752868652344,285.6600036621094,431.423583984375,215.53807067871094,43.48586654663086,66.95528411865234
2022-02-22,160.8500213623047,150.19749450683594,40.71133804321289,478.1537170410156,111.72039031982422,143.58261108398438,128.6725616455078,281.7516174316406,142.66334533691406,135.62672424316406,54.54212951660156,358.4779968261719,200.3208770751953,277.7318115234375,127.65714263916016,23.31633949279785,145.65980529785156,37.728965759277344,404.1906433105469,273.84332275390625,426.5359191894531,214.2120361328125,43.00055694580078,66.17633819580078
2022-02-23,156.68972778320312,144.82699584960938,40.01433181762695,471.5647888183594,114.37841796875,141.43017578125,126.46658325195312,274.8720703125,142.7341766357422,132.78680419921875,53.937862396240234,351.60614013671875,196.72247314453125,270.5403747558594,126.40077209472656,22.31649398803711,144.22352600097656,37.20506286621094,397.0208435058594,254.67999267578125,423.8706359863281,209.0145263671875,42.55936050415039,66.44462585449219
2022-02-24,159.3033905029297,151.35800170898438,38.95991897583008,481.3909606933594,113.78776550292969,144.8527374267578,131.5247344970703,279.14056396484375,140.00730895996094,129.0896453857422,52.99203872680664,359.53900146484375,205.79283142089844,284.36334228515625,126.71487426757812,23.6732177734375,141.71437072753906,36.48270797729492,402.99566650390625,266.92333984375,420.4307861328125,210.32115173339844,42.39548873901367,65.60509490966797
2022-02-25,161.36883544921875,153.7884979248047,40.22879409790039,492.7311096191406,118.45401000976562,144.97879028320312,133.27767944335938,282.1793518066406,146.96607971191406,132.14382934570312,55.04130172729492,359.25677490234375,208.64772033691406,286.9889221191406,128.2206268310547,24.080923080444336,145.68577575683594,37.879791259765625,411.8873291015625,269.9566650390625,438.7460021972656,212.22789001464844,42.978492736816406,67.37073516845703
