timestamp,country,price_eur_mwh,resolution
2020-01-08 00:00:00+00:00,france,27.28,PT60M
2020-01-08 01:00:00+00:00,france,26.16,PT60M
2020-01-08 02:00:00+00:00,france,20.86,PT60M
2020-01-08 03:00:00+00:00,france,20.35,PT60M
2020-01-08 04:00:00+00:00,france,28.52,PT60M
2020-01-08 05:00:00+00:00,france,33.05,PT60M
2020-01-08 06:00:00+00:00,france,41.17,PT60M
2020-01-08 07:00:00+00:00,france,44.5,PT60M
2020-01-08 09:00:00+00:00,france,43.74,PT60M
2020-01-08 10:00:00+00:00,france,43.76,PT60M
2020-01-08 11:00:00+00:00,france,44.5,PT60M
2020-01-08 12:00:00+00:00,france,44.95,PT60M
2020-01-08 13:00:00+00:00,france,46.04,PT60M
2020-01-08 14:00:00+00:00,france,46.33,PT60M
2020-01-08 15:00:00+00:00,france,47.9,PT60M
2020-01-08 16:00:00+00:00,france,53.53,PT60M
2020-01-08 17:00:00+00:00,france,55.92,PT60M
2020-01-08 18:00:00+00:00,france,54.94,PT60M
2020-01-08 19:00:00+00:00,france,48.1,PT60M
2020-01-08 20:00:00+00:00,france,44.92,PT60M
2020-01-08 21:00:00+00:00,france,41.67,PT60M
2020-01-08 22:00:00+00:00,france,39.41,PT60M
2020-01-08 23:00:00+00:00,france,34.08,PT60M
2020-01-09 00:00:00+00:00,france,32.2,PT60M
2020-01-09 01:00:00+00:00,france,32.56,PT60M
2020-01-09 02:00:00+00:00,france,30.42,PT60M
2020-01-09 03:00:00+00:00,france,28.8,PT60M
2020-01-09 05:00:00+00:00,france,34.99,PT60M
2020-01-09 06:00:00+00:00,france,46.16,PT60M
2020-01-09 07:00:00+00:00,france,47.51,PT60M
2020-01-09 08:00:00+00:00,france,45.68,PT60M
2020-01-09 09:00:00+00:00,france,43.61,PT60M
2020-01-09 10:00:00+00:00,france,40.17,PT60M
2020-01-09 11:00:00+00:00,france,37.67,PT60M
2020-01-09 13:00:00+00:00,france,32.9,PT60M
2020-01-09 14:00:00+00:00,france,32.54,PT60M
2020-01-09 15:00:00+00:00,france,33.21,PT60M
2020-01-09 16:00:00+00:00,france,42.85,PT60M
2020-01-09 17:00:00+00:00,france,44.23,PT60M
2020-01-09 18:00:00+00:00,france,41.6,PT60M
2020-01-09 19:00:00+00:00,france,33.89,PT60M
2020-01-09 20:00:00+00:00,france,31.34,PT60M
2020-01-09 21:00:00+00:00,france,31.3,PT60M
2020-01-09 22:00:00+00:00,france,30.12,PT60M
2020-01-09 23:00:00+00:00,france,27.81,PT60M
2020-01-10 00:00:00+00:00,france,27.62,PT60M
2020-01-10 01:00:00+00:00,france,27.54,PT60M
2020-01-10 02:00:00+00:00,france,26.47,PT60M
2020-01-10 03:00:00+00:00,france,26.7,PT60M
2020-01-10 04:00:00+00:00,france,28.2,PT60M
2020-01-10 05:00:00+00:00,france,32.0,PT60M
2020-01-10 06:00:00+00:00,france,43.66,PT60M
2020-01-10 07:00:00+00:00,france,47.4,PT60M
2020-01-10 08:00:00+00:00,france,47.92,PT60M
2020-01-10 09:00:00+00:00,france,46.87,PT60M
2020-01-10 10:00:00+00:00,france,44.2,PT60M
2020-01-10 11:00:00+00:00,france,41.6,PT60M
2020-01-10 14:00:00+00:00,france,36.27,PT60M
2020-01-10 15:00:00+00:00,france,40.62,PT60M
2020-01-10 16:00:00+00:00,france,47.3,PT60M
2020-01-10 17:00:00+00:00,france,49.97,PT60M
2020-01-10 18:00:00+00:00,france,47.36,PT60M
2020-01-10 19:00:00+00:00,france,45.21,PT60M
2020-01-10 20:00:00+00:00,france,41.56,PT60M
2020-01-10 21:00:00+00:00,france,39.9,PT60M
2020-01-10 22:00:00+00:00,france,33.12,PT60M
2020-01-10 23:00:00+00:00,france,35.01,PT60M
2020-01-11 00:00:00+00:00,france,34.0,PT60M
2020-01-11 01:00:00+00:00,france,31.43,PT60M
2020-01-11 02:00:00+00:00,france,29.14,PT60M
2020-01-11 05:00:00+00:00,france,29.32,PT60M
2020-01-11 06:00:00+00:00,france,31.32,PT60M
2020-01-11 07:00:00+00:00,france,35.68,PT60M
2020-01-11 08:00:00+00:00,france,40.0,PT60M
2020-01-11 10:00:00+00:00,france,37.9,PT60M
2020-01-11 11:00:00+00:00,france,38.6,PT60M
2020-01-11 12:00:00+00:00,france,33.06,PT60M
2020-01-11 14:00:00+00:00,france,32.51,PT60M
2020-01-11 15:00:00+00:00,france,33.71,PT60M
2020-01-11 16:00:00+00:00,france,41.05,PT60M
2020-01-11 17:00:00+00:00,france,44.62,PT60M
2020-01-11 18:00:00+00:00,france,44.65,PT60M
2020-01-11 19:00:00+00:00,france,40.15,PT60M
2020-01-11 20:00:00+00:00,france,29.38,PT60M
2020-01-11 21:00:00+00:00,france,36.08,PT60M
2020-01-11 22:00:00+00:00,france,39.13,PT60M
