datetime,renewable_total_mwh,prediction_mwh,error_mwh,error_percent
2025-05-29,639781.25,628273.0,-11508.25,-1.798778879499829
2025-05-30,772409.25,754517.5,-17891.75,-2.3163562580329016
2025-05-31,461656.25,458781.53,-2874.71875,-0.6226968117511676
2025-06-01,591103.5,591826.0,722.5,0.12222901742249878
2025-06-02,478832.75,485864.7,7031.9375,1.4685581761063753
2025-06-03,651339.5,623074.0,-28265.5,-4.339595556541558
2025-06-04,607465.0,615195.8,7730.8125,1.2726350489328602
2025-06-05,688641.0,672684.56,-15956.4375,-2.3170908354280386
2025-06-06,956004.0,936560.8,-19443.1875,-2.0337977142355053
2025-06-07,571917.5,563806.4,-8111.125,-1.4182333990479397
2025-06-08,829704.75,810048.75,-19656.0,-2.369035491239504
2025-06-09,653487.25,649251.9,-4235.375,-0.6481189954356416
2025-06-10,885430.0,874572.75,-10857.25,-1.2262121229233254
2025-06-11,673389.0,653826.25,-19562.75,-2.905118735233275
2025-06-12,808882.75,768305.6,-40577.125,-5.016440887137227
2025-06-13,912603.25,863336.06,-49267.1875,-5.398532987911231
2025-06-14,744933.75,742208.56,-2725.1875,-0.3658295116847639
2025-06-15,513718.25,513772.66,54.40625,0.01059067884000617
2025-06-16,610087.25,602238.0,-7849.25,-1.2865782722061476
2025-06-17,556833.0,527674.5,-29158.5,-5.236489216695131
2025-06-18,599129.75,582728.7,-16401.0625,-2.7374809045953734
2025-06-19,713539.0,700005.0,-13534.0,-1.8967428549805967
2025-06-20,574773.25,527142.2,-47631.0625,-8.286930976693853
2025-06-21,523723.25,507531.66,-16191.59375,-3.091631648967274
2025-06-22,658062.75,647064.9,-10997.875,-1.6712501961249138
2025-06-23,984455.5,934310.44,-50145.0625,-5.093685037058557
2025-06-24,1008597.75,973923.44,-34674.3125,-3.437873275049444
2025-06-25,753307.75,737796.7,-15511.0625,-2.059060523404943
2025-06-26,723677.0,705976.44,-17700.5625,-2.445920279351147
2025-06-27,705926.0,702230.8,-3695.1875,-0.5234525290186224
2025-06-28,790201.25,762760.8,-27440.4375,-3.472588470342207
2025-06-29,709776.0,697329.44,-12446.5625,-1.753590217195284
2025-06-30,589371.21,554248.5,-35122.70999999996,-5.959352849963602
2025-07-01,575609.0,557248.8,-18360.1875,-3.1896977809589493
2025-07-02,658147.49,640925.44,-17222.05249999999,-2.6167466657055836
2025-07-03,673775.01,674326.1,551.1149999999907,0.08179510842944304
2025-07-04,601515.33,579567.94,-21947.392499999958,-3.6486838165870115
2025-07-05,765069.16,764339.8,-729.3475000000326,-0.09533092406966615
2025-07-06,535800.5,551899.06,16098.5625,3.004581462689938
2025-07-07,537388.74,526520.06,-10868.67749999999,-2.0224981826005495
2025-07-08,654150.98,648611.0,-5539.979999999981,-0.8468962318148605
2025-07-09,541271.22,540811.56,-459.65749999997206,-0.08492184380318098
2025-07-10,489660.56,492133.78,2473.2212500000023,0.505088923232862
2025-07-11,573640.56,569282.4,-4358.185000000056,-0.7597414311149921
2025-07-12,492564.53,509059.0,16494.469999999972,3.3486922007965068
2025-07-13,418986.43,414056.34,-4930.086249999993,-1.1766696716168095
2025-07-14,411705.58,414756.56,3050.9824999999837,0.7410593026210585
2025-07-15,521544.6,527851.7,6307.087500000023,1.2093093284831296
2025-07-16,504962.91,507008.6,2045.6837500000256,0.40511564502827063
2025-07-17,571872.8200000001,574562.94,2690.117499999935,0.4704048533028611
2025-07-18,361615.93,359825.47,-1790.461249999993,-0.4951278695050832
2025-07-19,568812.45,545129.7,-23682.762499999953,-4.163545031407093
2025-07-20,535841.54,544297.5,8455.959999999963,1.5780710095749506
2025-07-21,358505.73,355522.44,-2983.2924999999814,-0.8321463927508164
2025-07-22,671302.3200000001,663920.3,-7382.007500000065,-1.0996546980502115
2025-07-23,781898.29,777697.5,-4200.790000000037,-0.5372552995351911
2025-07-24,330104.1,331455.4,1351.3062500000233,0.40935760870586685
2025-07-25,385013.23,384057.44,-955.7924999999814,-0.24824926146043902
2025-07-26,308545.49,314004.88,5459.385000000009,1.769393874465645
2025-07-27,363036.16000000003,364416.3,1380.1524999999674,0.38016942995429637
2025-07-28,580900.06,569800.0,-11100.060000000056,-1.9108381569112
2025-07-29,689298.01,681875.75,-7422.260000000009,-1.076785351520166
2025-07-30,681975.53,682874.25,898.7199999999721,0.131781854401722
2025-07-31,633157.52,641540.25,8382.729999999981,1.323956477686624
2025-08-01,474379.79,467905.88,-6473.914999999979,-1.3647113845216676
2025-08-02,551954.88,547822.6,-4132.255000000005,-0.7486581149531651
2025-08-03,624450.4299999999,627840.2,3389.757500000065,0.5428385244286029
2025-08-04,707822.58,700475.56,-7347.017499999958,-1.037974445517118
2025-08-05,828663.5,817847.06,-10816.4375,-1.305287067669808
2025-08-06,680926.73,673962.8,-6963.917499999981,-1.0227117240646408
2025-08-07,549221.79,546239.1,-2982.6650000000373,-0.5430711334304557
2025-08-08,526963.4,539481.56,12518.162499999977,2.375527882961127
2025-08-09,517883.07,507982.34,-9900.726250000007,-1.9117686643048606
2025-08-10,585621.88,586857.94,1236.0574999999953,0.21106750656242476
2025-08-11,503486.92000000004,476125.97,-27360.951250000042,-5.434292364536509
2025-08-12,546049.15,544164.3,-1884.8375000000233,-0.3451772610579145
2025-08-13,520940.52,511363.7,-9576.832500000019,-1.8383735056739334
2025-08-14,454915.08,456013.75,1098.6699999999837,0.24151100904370626
2025-08-15,580102.35,565456.44,-14645.912499999977,-2.524711803011999
2025-08-16,635714.16,632555.75,-3158.4100000000326,-0.4968286375751064
2025-08-17,457110.37,465100.22,7989.848750000005,1.7479036299264017
2025-08-18,474179.03,445450.9,-28728.123750000028,-6.058497304277675
2025-08-19,514378.55,490926.5,-23452.04999999999,-4.559297816753826
2025-08-20,495858.24,501115.38,5257.135000000009,1.060209264647898
2025-08-21,584800.61,581388.06,-3412.547499999986,-0.5835403454862994
2025-08-22,647697.67,646480.25,-1217.420000000042,-0.18796115168980643
2025-08-23,609201.43,605717.06,-3484.367500000051,-0.571956553023858
2025-08-24,497425.15,493106.6,-4318.556250000023,-0.8681821275020016
2025-08-25,468944.26,467963.66,-980.6037500000093,-0.2091088075158462
2025-08-26,501267.12,495027.5,-6239.619999999995,-1.2447694554552062
2025-08-27,486764.13,495252.28,8488.151249999995,1.7437914437121722
2025-08-28,258170.57,274237.7,16067.117499999993,6.2234504498324466
2025-08-29,473973.58,470978.53,-2995.0487500000163,-0.6319020461013916
2025-08-30,507870.56,507308.28,-562.2787499999977,-0.11071300332903676
2025-08-31,578378.55,591979.25,13600.699999999953,2.3515221994314888
2025-09-01,414448.26,423830.2,9381.92749999999,2.2637150171652283
2025-09-02,427440.07,420788.3,-6651.757500000007,-1.556184823757868
2025-09-03,881985.78,868378.25,-13607.530000000028,-1.5428287290527551
2025-09-04,623871.9,634766.75,10894.849999999977,1.7463280522812417
2025-09-05,419137.87,428590.2,9452.317500000005,2.2551809742221587
2025-09-06,456221.0,433678.84,-22542.15625,-4.941060637278863
2025-09-07,713904.66,705784.2,-8120.472500000033,-1.1374729645272288
2025-09-08,429785.62,454614.03,24828.411250000005,5.77692926301257
2025-09-09,270011.5,277978.28,7966.78125,2.9505340513274434
2025-09-10,279974.44,278905.9,-1068.5337500000023,-0.3816540359898576
2025-09-11,798053.4,791099.3,-6954.087500000023,-0.8713812258678458
2025-09-12,808261.55,796322.5,-11939.050000000047,-1.4771270512620631
2025-09-13,702988.59,706863.9,3875.2850000000326,0.5512585915512559
2025-09-14,560935.56,553069.5,-7866.060000000056,-1.4023108108888755
2025-09-15,1133080.34,1.0918744e+06,-41205.965000000084,-3.636632244453212
2025-09-16,1115116.69,1.0754466e+06,-39670.064999999944,-3.557481056085704
2025-09-17,848055.78,831498.2,-16557.592500000028,-1.9524178586460468
2025-09-18,884732.41,869461.25,-15271.160000000033,-1.7260767015418856
2025-09-19,671902.17,661329.75,-10572.420000000042,-1.573505857258958
2025-09-20,742841.4400000001,738534.4,-4307.0650000000605,-0.5798094678186048
2025-09-21,719366.53,721354.56,1988.032499999972,0.2763587708202065
2025-09-22,524235.04000000004,527176.44,2941.3974999999627,0.5610837268718174
2025-09-23,501660.05,500264.88,-1395.1749999999884,-0.2781116415389243
2025-09-24,842225.15,834459.8,-7765.337500000023,-0.9220025666533495
2025-09-25,814250.25,815475.56,1225.3125,0.15048352763784842
2025-09-26,619776.88,617093.8,-2683.0675000000047,-0.432908613822446
2025-09-27,369062.65,372438.94,3376.2874999999767,0.9148277399514626
2025-09-28,330654.0,330280.88,-373.125,-0.11284454444827523
2025-09-29,324236.64,328650.4,4413.766249999986,1.3612792958870983
2025-09-30,325509.76,331778.47,6268.708749999991,1.925812838914566
2025-10-01,396972.64,397910.47,937.828749999986,0.236245185562407
2025-10-02,502182.1,497842.53,-4339.568749999977,-0.86414245947834
2025-10-03,776612.73,768960.4,-7652.354999999981,-0.9853501886326255
2025-10-04,1037643.97,1.02503444e+06,-12609.532499999972,-1.2152079966310576
2025-10-05,1048887.32,1.0377747e+06,-11112.632500000065,-1.0594686662815282
2025-10-06,678155.99,706846.44,28690.44750000001,4.230656061889243
2025-10-07,237086.63,246359.55,9272.916874999995,3.9111935055131517
2025-10-08,246231.16,247603.7,1372.5431249999965,0.5574205656993194
2025-10-09,417372.93,417907.62,534.695000000007,0.12810965004366887
