datetime,actual,prediction,error,absolute_error
2025-04-16 14:00:00,2422.54376,2280.8171,141.72662132812502,141.72662132812502
2025-04-16 15:00:00,2254.159707,2285.4272,-31.2675390937502,31.2675390937502
2025-04-16 16:00:00,1924.729987,2029.9417,-105.21166339062506,105.21166339062506
2025-04-16 17:00:00,1375.161293,1470.6705,-95.50923922656261,95.50923922656261
2025-04-16 18:00:00,756.616349,1016.18066,-259.5643150625,259.5643150625
2025-04-16 19:00:00,330.972665,434.60065,-103.62798197265624,103.62798197265624
2025-04-16 20:00:00,162.013817,240.51926,-78.50543959179689,78.50543959179689
2025-04-16 21:00:00,196.751461,188.90794,7.843517274414069,7.843517274414069
2025-04-16 22:00:00,266.0401,215.08075,50.959350488281245,50.959350488281245
2025-04-16 23:00:00,490.569101,332.85876,157.7103363515625,157.7103363515625
2025-04-17 00:00:00,518.9001000000001,747.0028,-228.10270761718743,228.10270761718743
2025-04-17 01:00:00,525.3624729999999,619.49084,-94.12837172656259,94.12837172656259
2025-04-17 02:00:00,475.4117770000001,529.85815,-54.446377296874914,54.446377296874914
2025-04-17 03:00:00,376.07153800000003,460.9831,-84.91155526171872,84.91155526171872
2025-04-17 04:00:00,363.629711,344.37845,19.25126251367186,19.25126251367186
2025-04-17 05:00:00,364.00889600000005,405.72128,-41.712386958984325,41.712386958984325
2025-04-17 06:00:00,466.455931,422.90866,43.547270111328146,43.547270111328146
2025-04-17 07:00:00,527.465555,615.81415,-88.34859294921876,88.34859294921876
2025-04-17 08:00:00,534.0476870000001,731.3893,-197.3415952265624,197.3415952265624
2025-04-17 09:00:00,560.720185,625.6328,-64.91262749999999,64.91262749999999
2025-04-17 10:00:00,742.7386630000001,680.1089,62.62977628125009,62.62977628125009
2025-04-17 11:00:00,940.301905,915.399,24.902918183593783,24.902918183593783
2025-04-17 12:00:00,1104.1845739999999,1112.3987,-8.214107640625116,8.214107640625116
2025-04-17 13:00:00,1179.775093,1201.1981,-21.42302711718753,21.42302711718753
2025-04-17 14:00:00,1376.912607,1248.8148,128.09778766406248,128.09778766406248
2025-04-17 15:00:00,1463.5810270000002,1548.7506,-85.16958335156232,85.16958335156232
2025-04-17 16:00:00,1484.8988250000002,1711.2205,-226.32163398437478,226.32163398437478
2025-04-17 17:00:00,1650.9517779999999,1535.1608,115.79101139843738,115.79101139843738
2025-04-17 18:00:00,1818.5446350000002,1935.1953,-116.6506774999998,116.6506774999998
2025-04-17 19:00:00,1778.038089,1979.489,-201.4509246718751,201.4509246718751
2025-04-17 20:00:00,1469.26586,1714.1028,-244.83692320312502,244.83692320312502
2025-04-17 21:00:00,1186.1471049999998,1416.154,-230.00694773437522,230.00694773437522
2025-04-17 22:00:00,820.194134,976.0826,-155.8884465664063,155.8884465664063
2025-04-17 23:00:00,840.583615,640.6968,199.88683765625,199.88683765625
2025-04-18 00:00:00,968.030641,835.71497,132.31567517968745,132.31567517968745
2025-04-18 01:00:00,944.6828109999999,1013.7551,-69.0723159531251,69.0723159531251
2025-04-18 02:00:00,888.6118799999999,941.51874,-52.90685779296882,52.90685779296882
2025-04-18 03:00:00,904.459728,841.3473,63.11243796093754,63.11243796093754
2025-04-18 04:00:00,1161.2537599999998,894.9067,266.3470827539061,266.3470827539061
2025-04-18 05:00:00,1189.216623,1384.9847,-195.76811821093747,195.76811821093747
2025-04-18 06:00:00,1171.967481,1323.2603,-151.2927729062501,151.2927729062501
2025-04-18 07:00:00,1210.2046369999998,1224.6471,-14.44245772656268,14.44245772656268
2025-04-18 08:00:00,1272.404077,1312.4926,-40.088476710937584,40.088476710937584
2025-04-18 09:00:00,1448.987859,1395.482,53.50580333593757,53.50580333593757
2025-04-18 10:00:00,1716.3995490000002,1622.2644,94.1351447031252,94.1351447031252
2025-04-18 11:00:00,2117.3810099999996,1911.5201,205.8608683984371,205.8608683984371
2025-04-18 12:00:00,2288.7231180000003,2281.2012,7.5219461250003405,7.5219461250003405
2025-04-18 13:00:00,2365.99586,2393.6653,-27.669423203125007,27.669423203125007
2025-04-18 14:00:00,2335.123163,2493.9502,-158.8270323124998,158.8270323124998
2025-04-18 15:00:00,2542.901049,2281.585,261.31608806250006,261.31608806250006
2025-04-18 16:00:00,2454.807823,2534.5151,-79.7073137187499,79.7073137187499
2025-04-18 17:00:00,2252.694461,2192.7412,59.95325006250005,59.95325006250005
2025-04-18 18:00:00,1756.040204,1868.0966,-112.0563536171876,112.0563536171876
2025-04-18 19:00:00,1336.255167,1297.0237,39.23148535937503,39.23148535937503
2025-04-18 20:00:00,1195.282003,1117.8966,77.38539655468753,77.38539655468753
2025-04-18 21:00:00,1292.451815,1143.7386,148.7131675390624,148.7131675390624
2025-04-18 22:00:00,1504.3892230000001,1362.8925,141.49676694531263,141.49676694531263
2025-04-18 23:00:00,1416.453791,1562.2996,-145.8457695468751,145.8457695468751
2025-04-19 00:00:00,1318.548617,1383.9695,-65.42086542187508,65.42086542187508
2025-04-19 01:00:00,1314.1423189999998,1264.3695,49.772812164062316,49.772812164062316
2025-04-19 02:00:00,1367.203284,1310.516,56.68729278906244,56.68729278906244
2025-04-19 03:00:00,1369.387927,1348.9501,20.43785375781249,20.43785375781249
2025-04-19 04:00:00,1207.885244,1370.152,-162.26673353906244,162.26673353906244
2025-04-19 05:00:00,862.053324,1186.8477,-324.79433225,324.79433225
2025-04-19 06:00:00,665.710521,724.4722,-58.76170800390628,58.76170800390628
2025-04-19 07:00:00,761.4763869999999,613.3479,148.12848660937493,148.12848660937493
2025-04-19 08:00:00,850.2199149999999,857.5242,-7.304254921875099,7.304254921875099
2025-04-19 09:00:00,868.4279359999999,1048.7915,-180.36356790625007,180.36356790625007
2025-04-19 10:00:00,918.438636,1007.6236,-89.18496019140628,89.18496019140628
2025-04-19 11:00:00,1046.340946,1012.0876,34.25336055078128,34.25336055078128
2025-04-19 12:00:00,1117.306114,1148.831,-31.52494068750002,31.52494068750002
2025-04-19 13:00:00,1105.969986,1239.2183,-133.24827571874994,133.24827571874994
2025-04-19 14:00:00,1131.841148,1204.1024,-72.26126899218752,72.26126899218752
2025-04-19 15:00:00,1170.630811,1206.1345,-35.503710484375006,35.503710484375006
2025-04-19 16:00:00,1351.5735590000002,1241.8995,109.67402286718766,109.67402286718766
2025-04-19 17:00:00,1606.693585,1528.1692,78.52439554687498,78.52439554687498
2025-04-19 18:00:00,1710.780362,1931.944,-221.16360772656253,221.16360772656253
2025-04-19 19:00:00,1831.2134609999998,1793.8336,37.379842835937325,37.379842835937325
2025-04-19 20:00:00,1974.429166,1973.9164,0.5127841640623956,0.5127841640623956
2025-04-19 21:00:00,2051.259203,2134.9978,-83.73859973437493,83.73859973437493
2025-04-19 22:00:00,2054.219087,2128.8982,-74.67910635937506,74.67910635937506
2025-04-19 23:00:00,1869.64534,2043.1849,-173.53959652343747,173.53959652343747
2025-04-20 00:00:00,1728.1276490000002,1786.058,-57.93033439843725,57.93033439843725
2025-04-20 01:00:00,1634.091593,1672.7195,-38.6278894218749,38.6278894218749
2025-04-20 02:00:00,1470.611332,1572.9589,-102.34753030468755,102.34753030468755
2025-04-20 03:00:00,1297.867379,1375.6053,-77.73796767968747,77.73796767968747
2025-04-20 04:00:00,1242.8109539999998,1201.9917,40.81925478124981,40.81925478124981
2025-04-20 05:00:00,1286.272112,1244.2744,41.99769793750011,41.99769793750011
2025-04-20 06:00:00,1283.279213,1343.2593,-59.98006434374997,59.98006434374997
2025-04-20 07:00:00,1240.021712,1383.1536,-143.13185245312502,143.13185245312502
2025-04-20 08:00:00,1262.6345150000002,1293.5084,-30.873907851562308,30.873907851562308
2025-04-20 09:00:00,1325.8445399999998,1333.7281,-7.883609414062676,7.883609414062676
2025-04-20 10:00:00,1233.560491,1415.0575,-181.49700411718754,181.49700411718754
2025-04-20 11:00:00,1174.4388139999999,1327.1776,-152.73879830468763,152.73879830468763
2025-04-20 12:00:00,1010.976255,1183.5074,-172.53119128906246,172.53119128906246
2025-04-20 13:00:00,915.092314,950.5078,-35.41549850000001,35.41549850000001
2025-04-20 14:00:00,904.3494240000001,834.9319,69.41753923437511,69.41753923437511
2025-04-20 15:00:00,765.2197639999999,818.83356,-53.61379312890631,53.61379312890631
2025-04-20 16:00:00,676.010197,724.52625,-48.51604811718755,48.51604811718755
2025-04-20 17:00:00,828.521668,686.21826,142.30340628124998,142.30340628124998
2025-04-20 18:00:00,795.326137,874.11847,-78.79233223828123,78.79233223828123
2025-04-20 19:00:00,624.273357,779.7065,-155.43312493359372,155.43312493359372
2025-04-20 20:00:00,554.739422,566.73944,-12.00001891796876,12.00001891796876
2025-04-20 21:00:00,525.0233470000001,543.8879,-18.864531417968692,18.864531417968692
2025-04-20 22:00:00,535.454351,510.90268,24.5516715566406,24.5516715566406
2025-04-20 23:00:00,505.466175,539.4897,-34.02351005859373,34.02351005859373
2025-04-21 00:00:00,428.19658000000004,480.25327,-52.056685380859335,52.056685380859335
2025-04-21 01:00:00,428.46478399999995,404.81183,23.652955386718702,23.652955386718702
2025-04-21 02:00:00,398.503597,438.03006,-39.52646281445311,39.52646281445311
2025-04-21 03:00:00,358.701793,410.9698,-52.26799459765624,52.26799459765624
2025-04-21 04:00:00,362.025441,367.3394,-5.313944986328124,5.313944986328124
2025-04-21 05:00:00,416.866084,380.55273,36.313349625,36.313349625
