date,actual_mwh,prediction_mwh,error_mwh,absolute_error_mwh
2025-03-15,35269.090104999996,33927.598,1341.4917468457022,2140.4191319199217
2025-03-16,73995.763719,72831.66,1164.1094221249987,3912.2063593125013
2025-03-17,43321.229256,42902.6,418.6272967714859,4698.327066919921
2025-03-18,48240.103506,48961.105,-721.002573101563,4003.870674210937
2025-03-19,32808.970719,33246.28,-437.31097350488267,2948.5007846084
2025-03-20,20588.75107,21375.959,-787.207471870117,1622.337429532227
2025-03-21,57717.330626,54801.242,2916.0871872792973,5090.890263583984
2025-03-22,99031.158859,98059.45,971.706710562501,5429.600967124999
2025-03-23,92740.933554,91966.95,773.9770110312515,3448.0131378750007
2025-03-24,26036.861914,27169.402,-1132.540902772461,2029.215808571289
2025-03-25,62545.690154,61595.297,950.3912038046881,3142.1584198984365
2025-03-26,61708.969284,60635.117,1073.8536834140612,4299.719417328123
2025-03-27,70241.031884,68643.484,1597.544213101562,4096.7567276953105
2025-03-28,65451.914834,67489.1,-2037.190329574219,5713.404724816406
2025-03-29,42461.068658,41849.01,612.0583430585936,3669.1750497226562
2025-03-30,60765.835472,61321.832,-555.99607096875,5126.405505625
2025-03-31,40725.683254,38672.207,2053.4768025839853,4329.736065232423
2025-04-01,19612.405221,19825.777,-213.37188623876887,2116.603416922363
2025-04-02,17890.067592,19172.957,-1282.8890425214845,3115.5456764003907
2025-04-03,22407.180937999998,22716.684,-309.50288463183665,3977.014323758789
2025-04-04,43668.168781,43471.96,196.20595141015679,5373.239969691405
2025-04-05,46911.490209,48659.51,-1748.020777328124,6622.618555390625
2025-04-06,24345.304967,24962.895,-617.5902661542962,3373.6374251425777
2025-04-07,33005.799234,33208.723,-202.92510071679578,3098.225734126954
2025-04-08,24516.176998,24559.385,-43.2083322001954,1769.1523076865221
2025-04-09,31183.498153,31459.607,-276.10871955859403,3466.8869885624995
2025-04-10,63887.544724,60281.934,3605.611755860352,4480.581548077149
2025-04-11,87069.817996,88877.836,-1808.0172090781266,5459.4142728906245
2025-04-12,33645.047739,35076.03,-1430.9825573256835,4504.480112709472
2025-04-13,61656.259057,63614.582,-1958.3216314765614,5463.115144710935
2025-04-14,19717.79746,19453.084,264.71380750366177,2832.3116170798335
2025-04-15,77629.216189,74411.11,3218.107729527343,6159.1315115117195
2025-04-16,37126.477049,38603.684,-1477.2077196767575,3537.632232030274
2025-04-17,22568.191763,24117.951,-1549.7596224980466,2737.973350115234
2025-04-18,37734.717733,37231.5,503.21822128124984,2598.5720046796882
2025-04-19,31525.396878,32703.781,-1178.384677175782,2249.1263797460933
2025-04-20,24820.012715,25962.861,-1142.849437099609,1781.0285766816405
2025-04-21,11439.208018,12359.263,-920.0544942070312,1223.2694668359372
2025-04-22,11606.602596,12064.23,-457.6280482260743,932.3032595170893
2025-04-23,13391.700186,13964.5625,-572.8625428818359,1572.91762475293
2025-04-24,26288.24193,24892.338,1395.9035968701164,2497.3647068427726
2025-04-25,31470.70257,29894.916,1575.785821953125,2888.949580179688
2025-04-26,21490.918848,21732.389,-241.46971706347597,3070.5202570419924
2025-04-27,32551.101067,34126.637,-1575.5374828046874,5196.063074390625
2025-04-28,50585.557532,48478.008,2107.5489260429695,5129.331992183594
2025-04-29,45819.541035,45150.715,668.8264353906238,3308.992915781251
2025-04-30,34051.490272,34924.777,-873.2860036347652,4782.539930767579
2025-05-01,34141.139334,33530.43,610.7083647617183,3702.1230396875
2025-05-02,61690.796639,60441.4,1249.396980796876,7309.6238652500015
2025-05-03,53864.025355,55534.74,-1670.7142690234384,3216.9937176015637
2025-05-04,59856.004238,59383.203,472.8012350703116,4785.171849539061
2025-05-05,58900.348576,52592.31,6308.040958812499,7690.704001617187
2025-05-06,60255.403295,57686.12,2569.280461748047,4507.985509501954
2025-05-07,28494.120630999998,26180.66,2313.4597881044915,3681.569562534179
2025-05-08,25622.137167,24502.205,1119.9327564470225,2402.356095066651
2025-05-09,43140.478913,43710.188,-569.7088006230465,3692.5275171152343
2025-05-10,30117.543483,29706.395,411.14855502148464,2946.6794043066398
2025-05-11,25030.506569999998,25696.312,-665.8054722363288,2360.742342818361
2025-05-12,39318.143925000004,38080.79,1237.353611279298,3301.1393317949232
2025-05-13,45905.102313,45388.3,516.8000669062503,5325.128135148436
2025-05-14,49464.054351,50919.34,-1455.286347242189,6838.005147414064
2025-05-15,62518.72115,62535.414,-16.692058007812648,6900.796782867188
2025-05-16,60316.064788,59083.62,1232.4428397578129,7474.408147882812
2025-05-17,53775.961811,55425.17,-1649.2096977890624,6926.275695976563
2025-05-18,42253.884564,42149.773,104.1107297714841,5358.539532326173
2025-05-19,50987.7431,46507.38,4480.36419375,6878.114061179687
2025-05-20,58945.454487,56824.41,2121.045795593751,5764.855828531248
2025-05-21,72746.454796,72894.25,-147.79837782812456,5967.809688140624
2025-05-22,74287.02068100001,75101.76,-814.7387184140603,6803.530766210939
2025-05-23,47964.14106,47920.086,44.05628216797038,4240.726716621095
2025-05-24,42283.597962,42298.91,-15.313537023436766,4366.099680382813
2025-05-25,46708.805824,46977.785,-268.9789660390618,3788.873147164062
2025-05-26,67759.211284,66595.63,1163.5785935703136,5963.099095445314
2025-05-27,78070.820658,76854.41,1216.416605265625,5503.606411734374
2025-05-28,29170.145896,28870.898,299.24715332421914,2031.6582075507806
2025-05-29,50546.232588,51212.375,-666.1439989140622,4772.571661773438
2025-05-30,60788.272328,62307.664,-1519.3899034453116,5991.479793523437
2025-05-31,27958.080965,28454.203,-496.1227550927724,3562.4345010947263
2025-06-01,29975.016312,31152.611,-1177.5958095820315,4462.171577269532
2025-06-02,60200.935671,59032.875,1168.0620748085953,4089.613246816408
