timestamp,country,actual_load_mw,forecast_load_mw,imbalance_mw,imbalance_cost_eur,risk_score,risk_level
2026-02-25 19:00:00+00:00,germany,64788.394705,61080.664,3707.730642499999,401892.97446516296,9.14974884889075,HIGH
2026-02-25 20:00:00+00:00,germany,62103.345875,58715.734,3387.611499999999,340021.3414779999,8.72366401562718,HIGH
2026-02-25 21:00:00+00:00,germany,58195.8412625,55002.586,3193.2553249999983,318851.7332411529,8.429084693735176,HIGH
2026-02-25 22:00:00+00:00,germany,54708.3555525,51784.39,2923.964927499997,266045.72082336975,7.987302916143435,HIGH
2026-02-25 23:00:00+00:00,germany,52062.51768,50339.965,1722.5528362499972,151388.0632475627,6.007395004883493,MEDIUM
2026-02-26 00:00:00+00:00,germany,49851.7398825,49177.793,673.9469137499982,56105.06964931672,2.544823496581554,LOW
2026-02-26 01:00:00+00:00,germany,48910.4580625,49419.53,-509.0731874999983,40244.20813047642,1.9195618808427517,LOW
2026-02-26 02:00:00+00:00,germany,49161.66401,50484.06,-1322.3945837499996,103308.60556968638,5.002267336402958,MEDIUM
2026-02-26 03:00:00+00:00,germany,51119.199615,55135.098,-4015.898041250002,311168.3458154703,9.357297335007674,HIGH
2026-02-26 04:00:00+00:00,germany,55064.5272275,61326.64,-6262.1133974999975,546264.5035324666,9.802392911957584,HIGH
2026-02-26 05:00:00+00:00,germany,62286.629995,66648.92,-4362.291879999997,505764.6658536846,9.43421236221571,HIGH
2026-02-26 06:00:00+00:00,germany,67159.33554999999,69159.91,-2000.5707000000111,253302.25918050137,6.531672945444398,MEDIUM
2026-02-26 07:00:00+00:00,germany,69562.85509,69747.234,-184.3792850000027,20662.39543129343,0.6972931491558532,LOW
2026-02-26 08:00:00+00:00,germany,69306.09289,69279.13,26.960077499999898,2493.503867878116,0.1034254220733919,LOW
2026-02-26 09:00:00+00:00,germany,68146.16537999999,68221.06,-74.89712000000873,5844.03503080068,0.2788823775638342,LOW
2026-02-26 10:00:00+00:00,germany,66601.90016250001,65869.44,732.4626625000092,44934.20384072243,2.777835914608623,LOW
2026-02-26 11:00:00+00:00,germany,64754.94389,63140.418,1614.5259212500025,37203.72261910396,5.782405469513046,MEDIUM
2026-02-26 12:00:00+00:00,germany,62065.991045,60972.348,1093.6433887500025,17673.68727847082,4.199979070740896,MEDIUM
2026-02-26 13:00:00+00:00,germany,60405.0482775,59632.727,772.3217149999982,39645.68713630928,2.9341077159201894,LOW
2026-02-26 14:00:00+00:00,germany,60187.8162575,60011.176,176.6404762500024,14485.159374226603,0.6639807450816242,LOW
2026-02-26 15:00:00+00:00,germany,61424.95499,62785.73,-1360.7754787500016,148246.11249678722,5.126970838565647,MEDIUM
2026-02-26 16:00:00+00:00,germany,64913.1494775,66815.055,-1901.9052099999967,243078.93881783087,6.357262452909167,MEDIUM
2026-02-26 17:00:00+00:00,germany,67214.002015,67144.62,69.38482750000549,9024.138626030088,0.2591739919073531,LOW
2026-02-26 18:00:00+00:00,germany,66378.0822125,63500.46,2877.6212749999977,357350.92338800593,7.908643784010047,HIGH
2026-02-26 19:00:00+00:00,germany,63216.7086,60154.59,3062.118756249998,329069.4438458725,8.217524766289939,HIGH
2026-02-26 20:00:00+00:00,germany,59859.5538325,57224.785,2634.7686762500016,254753.4778840209,7.52232454304451,HIGH
2026-02-26 21:00:00+00:00,germany,57082.8177925,53777.29,3305.528729999998,305847.7644630712,8.601053439374912,HIGH
2026-02-26 22:00:00+00:00,germany,53363.5614475,50697.08,2666.4833224999966,219481.57537912784,7.571159480954375,HIGH
2026-02-26 23:00:00+00:00,germany,50124.45713,48926.793,1197.6641612500025,75955.41198241468,4.577228966094601,MEDIUM
2026-02-27 00:00:00+00:00,germany,48025.95662,47453.805,572.1519324999972,36851.51926341763,2.1598995395563,LOW
2026-02-27 01:00:00+00:00,germany,47418.416855,47797.438,-379.0206449999969,24976.65508662917,1.428421933863541,LOW
2026-02-27 02:00:00+00:00,germany,48297.8202625,49505.965,-1208.1445812500024,83361.97610625016,4.613157527556858,MEDIUM
2026-02-27 03:00:00+00:00,germany,50217.056955,54141.055,-3923.9977325,278855.9558618131,9.312997069903728,HIGH
2026-02-27 04:00:00+00:00,germany,53595.54962,60072.195,-6476.645692500002,491521.54699165234,9.84896051346449,HIGH
2026-02-27 05:00:00+00:00,germany,61019.7729575,65562.19,-4542.414542500002,399958.4648634896,9.459676294125854,HIGH
2026-02-27 06:00:00+00:00,germany,65878.7650875,67974.69,-2095.922412500004,213372.76130154723,6.689165620203712,MEDIUM
2026-02-27 07:00:00+00:00,germany,67846.23249,68301.27,-455.04094750000513,41513.15811995172,1.7167224780242778,LOW
2026-02-27 08:00:00+00:00,germany,66729.998485,66964.37,-234.3687024999963,17361.38896726785,0.8800753453327752,LOW
2026-02-27 09:00:00+00:00,germany,65808.9985875,65405.598,403.4009312499984,14635.234510400722,1.5208594949072136,LOW
2026-02-27 10:00:00+00:00,germany,63707.0331075,62379.09,1327.9432637499997,1481.3207107131243,5.019708385656481,MEDIUM
2026-02-27 11:00:00+00:00,germany,61023.4554575,59383.543,1639.9124887500002,-23.57374202578125,5.833333333333334,MEDIUM
2026-02-27 12:00:00+00:00,germany,58763.8925175,57749.516,1014.3768924999968,-11.665334263749962,3.890226035998325,LOW
2026-02-27 13:00:00+00:00,germany,57366.3811125,56991.516,374.8654874999993,3335.599965960931,1.4108064741174828,LOW
2026-02-27 14:00:00+00:00,germany,56516.6422775,57074.703,-558.0608474999972,38348.96483371667,2.107925212780801,LOW
2026-02-27 15:00:00+00:00,germany,57687.0852325,58908.145,-1221.0592987499986,129188.07380774984,4.657457792660806,MEDIUM
2026-02-27 16:00:00+00:00,germany,61339.8166975,63572.566,-2232.749708750001,295781.8431043748,6.907701967350356,MEDIUM
2026-02-27 17:00:00+00:00,germany,63680.5567775,64060.227,-379.6697849999982,51564.85184977476,1.430689270266499,LOW
2026-02-27 18:00:00+00:00,germany,62471.609125,59366.74,3104.8708437500027,390097.13713531673,8.28990512069206,HIGH
2026-02-27 19:00:00+00:00,germany,59620.2499125,56765.01,2855.238193750003,328450.8979989347,7.870796707129902,HIGH
2026-02-27 20:00:00+00:00,germany,56009.0162875,53569.42,2439.5944125000024,255198.34775908617,7.22059439095856,HIGH
2026-02-27 21:00:00+00:00,germany,52471.4694575,50019.566,2451.903051250003,246750.9414171209,7.2427445235105345,HIGH
2026-02-27 22:00:00+00:00,germany,49143.55131,47386.957,1756.5942787500026,161611.7238535516,6.080124180270685,MEDIUM
2026-02-27 23:00:00+00:00,germany,45741.0879175,44112.562,1628.525417500001,149861.79449460257,5.810659969303753,MEDIUM
2026-02-28 00:00:00+00:00,germany,43983.079912500005,43011.246,971.8338187500048,85279.14647067698,3.719129342821264,LOW
2026-02-28 01:00:00+00:00,germany,42514.43711,42156.727,357.71054749999894,30740.437179052096,1.3412166875959255,LOW
2026-02-28 02:00:00+00:00,germany,41959.1267725,41793.188,165.9392724999998,13696.834976240609,0.622296637365704,LOW
2026-02-28 03:00:00+00:00,germany,42775.791035,43280.543,-504.751933749998,41731.06015668999,1.9019464210966928,LOW
2026-02-28 04:00:00+00:00,germany,43186.0112375,44169.574,-983.5629812499974,81721.78920460916,3.766394586298312,LOW
2026-02-28 05:00:00+00:00,germany,44571.47953,46804.258,-2232.778282500003,187242.74045144743,6.907876377842891,MEDIUM
2026-02-28 06:00:00+00:00,germany,47415.2210125,50399.918,-2984.6969562500017,261857.9104111595,8.084275149993022,HIGH
2026-02-28 07:00:00+00:00,germany,51297.6518725,53211.758,-1914.1059400000013,125722.78487756508,6.378889353983536,MEDIUM
2026-02-28 08:00:00+00:00,germany,53944.0752525,55675.66,-1731.584903750001,35440.56467316424,6.0281498534951865,MEDIUM
