Date,AAPL,AMZN,BAC,CVX,GOOGL,HD,JNJ,JPM,KO,MA,MCD,META,MSFT,NVDA,PEP,PG,SBUX,V,WMT,XOM
2020-02-04,76.78926086425781,102.4834976196289,28.704782485961914,80.23435974121094,71.63529205322266,200.404296875,126.64002227783203,113.77828979492188,48.301719665527344,317.0853271484375,184.51307678222656,208.00341796875,170.26235961914062,6.143281936645508,116.9898681640625,107.2784652709961,76.42878723144531,194.30548095703125,35.17020034790039,44.7846794128418
2020-02-05,77.41543579101562,101.99349975585938,29.635412216186523,82.80995178222656,71.66702270507812,203.0564727783203,128.63648986816406,115.71261596679688,48.3099365234375,316.3145446777344,184.2981414794922,208.2809600830078,170.0543670654297,6.233518600463867,117.8720474243164,108.26024627685547,76.07259368896484,193.58956909179688,35.640079498291016,46.845802307128906
2020-02-06,78.32095336914062,102.5114974975586,29.60127067565918,82.21674346923828,73.14986419677734,203.67901611328125,128.25225830078125,115.72937774658203,48.424869537353516,317.2587585449219,183.0085906982422,209.0145263671875,173.58030700683594,6.320274353027344,117.89654541015625,108.5419692993164,74.84758758544922,193.8091583251953,35.48752212524414,46.211036682128906
2020-02-07,77.25637817382812,103.96399688720703,29.55004119873047,81.80374145507812,73.30547332763672,202.3656768798828,126.88226318359375,115.35940551757812,48.58904266357422,315.0428161621094,181.9253387451172,210.4816436767578,173.82603454589844,6.254151344299316,118.74609375,107.63705444335938,75.08213806152344,193.52276611328125,35.530235290527344,45.90485382080078
2020-02-10,77.62328338623047,106.69550323486328,29.618343353271484,82.4420166015625,74.77000427246094,205.1884307861328,126.85719299316406,115.8387680053711,49.04874801635742,318.2029724121094,183.3008575439453,211.20526123046875,178.37277221679688,6.537041187286377,118.98299407958984,107.71387481689453,76.0465087890625,196.625,35.16409683227539,45.4200553894043
2020-02-11,77.15496826171875,107.54000091552734,29.686656951904297,83.50830078125,74.83939361572266,206.06678771972656,126.96577453613281,116.05742645263672,48.91740036010742,318.8195495605469,185.46734619140625,205.38638305664062,174.345947265625,6.659343242645264,119.32608795166016,105.99791717529297,76.02913665771484,194.66824340820312,35.20986557006836,45.851829528808594
2020-02-12,78.98722839355469,108.0,29.814712524414062,84.13155364990234,75.26412200927734,206.02418518066406,126.21398162841797,116.05742645263672,48.76963424682617,321.94097900390625,186.95468139648438,208.92530822753906,174.60118103027344,6.774936199188232,119.32608795166016,105.39176177978516,76.95008087158203,198.00909423828125,35.3471565246582,46.41238784790039
2020-02-13,78.42476654052734,107.49349975585938,29.806182861328125,83.84620666503906,75.0044174194336,206.68081665039062,125.3786392211914,115.95651245117188,48.93382263183594,323.5596008300781,186.9202880859375,211.2846221923828,173.65589904785156,6.731185436248779,119.6446304321289,106.68084716796875,78.13166046142578,198.2576141357422,35.83229446411133,46.15483474731445
2020-02-14,78.4440689086914,106.74349975585938,29.754947662353516,83.62590026855469,75.2690658569336,208.95777893066406,125.41203308105469,115.60330200195312,49.212928771972656,328.48272705078125,186.6365966796875,212.31553649902344,175.20611572265625,7.203744888305664,120.06941986083984,107.68827056884766,77.56692504882812,201.020263671875,35.969581604003906,45.94272232055664
2020-02-18,77.00770568847656,107.78350067138672,29.259742736816406,83.74746704101562,75.30426788330078,208.0281982421875,124.58502197265625,114.07268524169922,48.86814880371094,328.76214599609375,185.82843017578125,215.904052734375,176.9832305908203,7.372285842895508,118.93399047851562,106.60404205322266,77.52351379394531,201.89013671875,36.5004768371582,45.35944747924805
2020-02-19,78.12301635742188,108.51100158691406,29.643957138061523,84.12728881835938,75.57337188720703,207.77235412597656,124.41795349121094,115.62850189208984,49.065155029296875,331.96075439453125,185.3813934326172,215.5967254638672,177.51409912109375,7.822970867156982,118.8768081665039,107.09065246582031,78.31410217285156,203.9071502685547,35.90550994873047,45.707908630371094
2020-02-20,77.32154846191406,107.65499877929688,29.754947662353516,83.42079162597656,75.18283081054688,210.65476989746094,123.94184112548828,115.62850189208984,49.02412033081055,331.854736328125,184.90858459472656,212.7120361328125,174.80316162109375,7.673820495605469,118.57451629638672,108.06389617919922,76.97613525390625,202.12908935546875,35.90855407714844,45.34429931640625
