,price_eur_mwh,load_mw,solar_mw,wind_onshore_mw,gas_mw,lignite_mw,oil_mw,hydro_reservoir_mw,hydro_pumped_mw,storage_mw
2020-01-08 15:00:00+00:00,75.93,7909.82,8.0,1171.0,3533.0,1675.0,0.0,710.0,21.0,21.0
2020-01-08 16:00:00+00:00,76.76,8529.36,0.0,1246.0,3574.0,1755.0,0.0,1142.0,317.0,317.0
2020-01-08 17:00:00+00:00,75.0,8614.09,0.0,1249.0,3512.0,1828.0,0.0,1273.0,348.0,348.0
2020-01-08 18:00:00+00:00,76.0,8530.53,0.0,1240.0,3484.0,1899.0,0.0,1049.0,268.0,268.0
2020-01-08 19:00:00+00:00,77.0,8045.38,0.0,1265.0,3392.0,1812.0,0.0,591.0,11.0,11.0
2020-01-08 20:00:00+00:00,58.32,7314.75,0.0,1284.0,2920.0,1566.0,0.0,382.0,0.0,0.0
2020-01-08 21:00:00+00:00,61.83,6776.1,0.0,1335.0,2401.0,1334.0,0.0,167.0,0.0,0.0
2020-01-08 22:00:00+00:00,56.43,6033.29,0.0,1319.0,1744.0,1339.0,0.0,160.0,0.0,0.0
2020-01-08 23:00:00+00:00,52.0,5447.01,0.0,1275.0,1197.0,1339.0,0.0,37.0,0.0,0.0
2020-01-09 00:00:00+00:00,48.3,5384.94,0.0,1230.0,1168.0,1344.0,0.0,29.0,0.0,0.0
2020-01-09 01:00:00+00:00,46.0,5274.62,0.0,1167.0,1223.0,1350.0,0.0,28.0,0.0,0.0
2020-01-09 02:00:00+00:00,41.0,5212.55,0.0,1109.0,1325.0,1340.0,0.0,29.0,0.0,0.0
2020-01-09 03:00:00+00:00,42.79,5332.64,0.0,1053.0,1346.0,1337.0,0.0,30.0,0.0,0.0
2020-01-09 04:00:00+00:00,55.27,5972.82,0.0,1021.0,1828.0,1343.0,0.0,79.0,0.0,0.0
2020-01-09 05:00:00+00:00,61.82,7024.88,1.0,1026.0,2726.0,1497.0,0.0,392.0,0.0,0.0
2020-01-09 06:00:00+00:00,74.0,7541.99,176.0,939.0,3355.0,1669.0,0.0,372.0,0.0,0.0
2020-01-09 07:00:00+00:00,69.02,8160.98,716.0,855.0,3847.0,1659.0,0.0,400.0,0.0,0.0
2020-01-09 08:00:00+00:00,68.99,8235.5,1181.0,835.0,3785.0,1626.0,0.0,274.0,0.0,0.0
2020-01-09 09:00:00+00:00,63.9,8221.09,1434.0,797.0,3625.0,1591.0,0.0,270.0,0.0,0.0
2020-01-09 10:00:00+00:00,64.14,8148.84,1526.0,728.0,3623.0,1575.0,0.0,265.0,0.0,0.0
2020-01-09 11:00:00+00:00,66.99,8025.08,1471.0,718.0,3463.0,1596.0,0.0,269.0,0.0,0.0
2020-01-09 12:00:00+00:00,66.97,7774.47,1290.0,625.0,3523.0,1596.0,0.0,159.0,0.0,0.0
2020-01-09 13:00:00+00:00,68.95,7840.21,894.0,580.0,3549.0,1687.0,0.0,144.0,0.0,0.0
2020-01-09 14:00:00+00:00,76.96,7816.37,306.0,548.0,3715.0,1798.0,0.0,275.0,0.0,0.0
2020-01-09 15:00:00+00:00,77.0,8159.31,10.0,559.0,4040.0,1896.0,0.0,526.0,4.0,4.0
2020-01-09 16:00:00+00:00,71.2,8719.27,0.0,501.0,4275.0,1978.0,0.0,868.0,204.0,204.0
2020-01-09 17:00:00+00:00,71.0,8800.52,0.0,453.0,4224.0,1934.0,0.0,928.0,247.0,247.0
2020-01-09 18:00:00+00:00,69.22,8709.83,0.0,433.0,4183.0,1916.0,0.0,1017.0,115.0,115.0
2020-01-09 19:00:00+00:00,66.61,8204.38,0.0,390.0,4064.0,1888.0,0.0,672.0,9.0,9.0
2020-01-09 20:00:00+00:00,62.16,7493.19,0.0,328.0,3532.0,1740.0,0.0,373.0,0.0,0.0
2020-01-09 21:00:00+00:00,61.46,6999.29,0.0,292.0,3117.0,1714.0,0.0,252.0,0.0,0.0
2020-01-09 22:00:00+00:00,61.98,6189.97,0.0,296.0,2725.0,1545.0,0.0,35.0,0.0,0.0
2020-01-09 23:00:00+00:00,56.41,5657.42,0.0,245.0,2129.0,1498.0,0.0,8.0,0.0,0.0
2020-01-10 00:00:00+00:00,56.4,5601.4,0.0,198.0,2075.0,1515.0,0.0,2.0,0.0,0.0
2020-01-10 01:00:00+00:00,54.57,5424.55,0.0,194.0,1902.0,1517.0,0.0,2.0,0.0,0.0
2020-01-10 02:00:00+00:00,54.56,5326.07,0.0,200.0,1860.0,1509.0,0.0,2.0,0.0,0.0
2020-01-10 03:00:00+00:00,56.38,5472.89,0.0,178.0,2048.0,1499.0,0.0,2.0,0.0,0.0
2020-01-10 04:00:00+00:00,63.83,6027.7,0.0,161.0,2471.0,1675.0,0.0,32.0,0.0,0.0
2020-01-10 05:00:00+00:00,67.99,7089.62,2.0,135.0,3298.0,1927.0,0.0,197.0,0.0,0.0
2020-01-10 06:00:00+00:00,72.7,7646.22,204.0,112.0,3610.0,2010.0,0.0,546.0,0.0,0.0
2020-01-10 07:00:00+00:00,78.22,8090.31,782.0,105.0,3628.0,2018.0,0.0,473.0,0.0,0.0
2020-01-10 08:00:00+00:00,72.61,8053.06,1263.0,77.0,3638.0,1881.0,0.0,205.0,0.0,0.0
